Year,UID,Question,Categories,Unit,Answer Type,Asked of,Age range,Multiple choice options
1950,1950_28,Attended school since February 1,Education,Sampled Individual,CC,All respondents,,"Yes, No, 30 or over"
1950,1950_26,Education level attended,Education,Sampled Individual,CC,All respondents,,"None, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, C1, C2, C3, C4, C5"
1950,1950_27,Completed highest grade level,Education,Sampled Individual,BN,All respondents,,
1950,1950_29,How many weeks seeking work,Occupation - Unemployment,Sampled Individual,FN,14 or over,,
1950,1950_30,Weeks of work in 1949,Occupation,Sampled Individual,FN,14 or over,,
1950,1950_31a,1949 salary as employee,Occupation - Income,Sampled Individual,FM,14 or over,,
1950,1950_31b,1949 salary in own business/farm,Occupation - Income,Sampled Individual,FM,14 or over,,
1950,1950_31c,1949 outside income,Occupation - Income,Sampled Individual,FM,14 or over,,
1950,1950_32a,1949 household salary as employees,Occupation - Income,Sampled Individual,FM,14 or over,,
1950,1950_32b,1949 household salary from own business/farm,Occupation - Income,Sampled Individual,FM,14 or over,,
1950,1950_32c,1949 household outside income,Occupation - Income,Sampled Individual,FM,14 or over,,
1950,1950_33a,Veteran of WWII,Veteran status,Sampled Individual,BN,"14 or over, male",,
1950,1950_33b,Veteran of WWI,Veteran status,Sampled Individual,BN,"14 or over, male",,
1950,1950_33c,Other service,Veteran status,Sampled Individual,BN,"14 or over, male",,
1950,1950_35a,Profession/occupation/trade of last job,Occupation - Job,Sampled Individual,FT,"14 or over, male",,
1950,1950_35b,"If not employed last week, industry of last job",Occupation - Job,Sampled Individual,FT,"14 or over, male",,
1950,1950_35c,Class of worker of last job,Occupation - Job,Sampled Individual,FT,"14 or over, male",,
1950,1950_36,Married more than once,Family,Sampled Individual,BN,Ever married,,
1950,1950_37,Years of current marital status,Family,Sampled Individual,FN,Ever married,,
1950,1950_38,Mother of how many children,Family,Sampled Individual,FN,"Ever married, women",,
1950,1950_H,Housing questionnaire,Housing,Sampled Household,CC,All respondents,,
1960,1960_P2,Name,Identity,Individual,FT,All respondents,,
1960,1960_P3,Relationship to head of family,Family,Individual,FT,All respondents,,
1960,1960_P4,Sex,Identity,Individual,CC,All respondents,,"Male, Female"
1960,1960_P5,Race,Race,Individual,CC,All respondents,,"White, Negro, American Indian, Japanese, Chinese, Filipino, Hawaiian, Part Hawaiian, Aleut, Eskimo"
1960,1960_P6,Date of birth,Identity,Individual,FD,All respondents,,
1960,1960_P7,Marital status,Family,Individual,CC,14 or over,,"Married, Widowed, Divorced, Separated, Single (never married)"
1960,1960_P8,Place of Birth (state or country),National origin,Indiv. in sampled household,FT,All respondents,,
1960,1960_P9,Mother tongue,National origin,Indiv. in sampled household,FT,Born outside US,,
1960,1960_P10,Father place of birth,National origin,Indiv. in sampled household,FT,All respondents,,
1960,1960_P11,Mother place of birth,National origin,Indiv. in sampled household,FT,All respondents,,
1960,1960_P12,Year moved into this house,Housing,Indiv. in sampled household,CC,All respondents,,"1959 or 1960, 1958, 1957, Apr. 1955-Dec. 1956, Jan. 1954-Mar. 1955, 1950-1953, 1940-1949, 1939 or earlier, Always lived here"
1960,1960_P13,Residence in 1955 (+ subquestions),Housing,Indiv. in sampled household,CC,All respondents,,"Born April 1955 or later, Yes - this house, No - different house"
1960,1960_P16,Attended school since February 1,Education,Indiv. in sampled household,BN,All respondents,,
1960,1960_P14,Education level attended,Education,Indiv. in sampled household,CC,All respondents,,"Never attended, K, 1, 2, 3, 4, 5, 6, 7, 8, H1, H2, H3, H4, C1, C2, C3, C4, C5, C6 or more"
1960,1960_P15,Completed highest grade level,Education,Indiv. in sampled household,CC,All respondents,,"Finished this grade, Did not finish, Never attended school"
1960,1960_P17,Private or public school,Education,Indiv. in sampled household,CC,All respondents,,"Public school, Private or parochial school"
1960,1960_P18,Married more than once,Family,Indiv. in sampled household,CC,Ever married,,"Once, More than once"
1960,1960_P19,Date of first marriage,Family,Indiv. in sampled household,FD,All respondents,,
1960,1960_P20,Mother of how many children,Family,Indiv. in sampled household,FN,"Ever married, women",,
1960,1960_P22,Any work last week,Occupation,Indiv. in sampled household,BN,14 or over,,
1960,1960_P23,Hours worked last week,Occupation,Indiv. in sampled household,CC,14 or over,,"1 to 14, 15 to 29, 30 to 34, 35 to 39, 40, 41 to 48, 49 to 59, 60 or more"
1960,1960_P28,Location of work,Occupation - Job,Indiv. in sampled household,FT,"14 or over, employed",,
1960,1960_P25,Temporarily absent from job or business,Occupation,Indiv. in sampled household,BN,14 or over,,
1960,1960_P24,Seeking work or on layoff,Occupation - Unemployment,Indiv. in sampled household,BN,14 or over,,
1960,1960_P26,Time of last work,Occupation,Indiv. in sampled household,CC,14 or over,,"Working now, 1960, 1959, 1955 to 1958, 1950 to 1954, 1949 or earlier, Never worked"
1960,1960_P27,Occupation category,Occupation - Job,Indiv. in sampled household,CC,14 or over,,"Last worked in 1949 / Never worked, Active duty Armed Forces, Worked 1950 or later"
1960,1960_P27a,Name of employer,Occupation - Job,Indiv. in sampled household,FT,14 or over,,
1960,1960_P27b,Type of business,Occupation - Job,Indiv. in sampled household,FT,14 or over,,
1960,1960_P27d,Type of work,Occupation - Job,Indiv. in sampled household,FT,14 or over,,
1960,1960_P27c,Industry,Occupation - Job,Indiv. in sampled household,CC,14 or over,,"Manufacturing, Wholesale trade, Retail trade, Other"
1960,1960_P27e,Class of worker,Occupation - Job,Indiv. in sampled household,CC,14 or over,,"Private, Government, Own business, Unpaid"
1960,1960_P29,Commute mode of transportation,Occupation,Indiv. in sampled household,CC,"14 or over, employed",,"Railroad, Subway, Bus, Taxi, Auto, Walk, Worked at home"
1960,1960_P30,Any work in 1959,Occupation,Indiv. in sampled household,BN,14 or over,,
1960,1960_P31,Weeks of work in 1959,Occupation,Indiv. in sampled household,CC,14 or over,,"13 or less, 14 to 26, 27 to 39, 40 to 47, 48 to 49, 50 to 52"
1960,1960_P32,1959 wages as employee,Occupation - Income,Indiv. in sampled household,FM,14 or over,,
1960,1960_P33,1959 wages in own business/farm,Occupation - Income,Indiv. in sampled household,FM,14 or over,,
1960,1960_P34,1959 income from Social Security/pension,Occupation - Income,Indiv. in sampled household,FM,14 or over,,
1960,1960_P35,Veteran or present service,Veteran status,Indiv. in sampled household,CC,"14 or over, male",,"Korean War, WWII, WWI, Other including present"
1960,1960_H,Housing questionnaire,Housing,Sampled Household,CC,All respondents,,
1970,1970_1,Name,Identity,Individual,FT,All respondents,,
1970,1970_2,Relationship to head of family,Family,Individual,CC,All respondents,,"Head, Wife, Son or daughter, Other relative, Roomer/boarder, Patient or inmate, Other"
1970,1970_3,Sex,Identity,Individual,CC,All respondents,,"Male, Female"
1970,1970_4,Color or race,Race,Individual,CC,All respondents,,"White, Negro or Black, American Indian, Japanese, Chinese, Filipino, Hawaiian, Korean, Other"
1970,1970_5,Date of birth / age,Identity,Individual,FD,All respondents,,
1970,1970_6,Month of birth,Identity,Individual,CC,All respondents,,"Jan-Mar, Apr-June, July-Sept, Oct-Dec"
1970,1970_7,Year of birth,Identity,Individual,CC,All respondents,,"[decades], [years]"
1970,1970_8,Marital status,Family,Individual,CC,All respondents,,"Now married, Widowed, Divorced, Separated, Never married"
1970,1970_13a,Place of Birth (state or country),National origin,Indiv. in sampled household,FT,All respondents,,
1970,1970_17,Mother tongue,National origin,Indiv. in sampled household,CC,All respondents,,"Spanish, French, German, Other, None"
1970,1970_13b,Hispanic origin,Race,Indiv. in sampled household,CC,All respondents,,"Mexican, Puerto Rican, Cuban, Central or South American, Other Spanish, None"
1970,1970_14,Father place of birth,National origin,Indiv. in sampled household,FT,All respondents,,
1970,1970_15,Mother place of birth,National origin,Indiv. in sampled household,FT,All respondents,,
1970,1970_16a,Naturalized,Immigration,Indiv. in sampled household,CC,Born outside US,,"Yes, No, Board abroad of American parents"
1970,1970_16b,Year of immigration to US,Immigration,Indiv. in sampled household,CC,Born outside US,,"1965 to 1970, 1960 to 1964, 1955 to 1959, 1950 to 1954, 1945 to 49, 1935 to 44, 1925 to 34, 1915 to 24, Before 1915"
1970,1970_18,Year moved into this house,Housing,Indiv. in sampled household,CC,All respondents,,"1969 or 70, 1968, 1967, 1965 or 66, 1960 to 1964, 1950 to 1959, 1949 or earlier, Always lived here"
1970,1970_19a,Lived here in 1965,Housing,Indiv. in sampled household,CC,All respondents,,"Born after April 1965, Yes, No"
1970,1970_19b,Residence in 1965 (+ subquestions),Housing,Indiv. in sampled household,FT,All respondents,,
1970,1970_20,Attended school since February 1,Education,Indiv. in sampled household,CC,All respondents,,"No, Yes (public), Yes (parochial), Yes (other private)"
1970,1970_21,Education level attended,Education,Indiv. in sampled household,CC,All respondents,,"Never, Nursery, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, C1, C2, C3, C4, C5, C6 or more"
1970,1970_22,Completed highest grade level,Education,Indiv. in sampled household,CC,All respondents,,"Now attending, Finished, Did not finish"
1970,1970_24a,Married more than once,Family,Indiv. in sampled household,CC,Ever married,,"Once, More than once"
1970,1970_24b,Date of first marriage,Family,Indiv. in sampled household,FD,All respondents,,
1970,1970_24c,First marriage ended becuase of death,Family,Indiv. in sampled household,BN,All respondents,,
1970,1970_25,Mother of how many children,Family,Indiv. in sampled household,CC,All respondents,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 or more, None"
1970,1970_26a,Veteran status,Veteran status,Indiv. in sampled household,BN,Men,,
1970,1970_26b,Period of military service,Veteran status,Indiv. in sampled household,CC,All respondents,,"Vietnam, Korean War, WWII, WWI, Any other"
1970,1970_28a,Health condition limiting work,Disability,Indiv. in sampled household,BN,Under 65,,
1970,1970_28b,Health condition preventing any work,Disability,Indiv. in sampled household,BN,Under 65,,
1970,1970_28c,Duration of health condition limiting work,Disability,Indiv. in sampled household,CC,Under 65,,"Less than 6 months, 6 to 11 months, 1 to 2 years, 3 to 4 years, 5 to 9 years, 10 or more years"
1970,1970_27a,Vocational training,Occupation,Indiv. in sampled household,BN,All respondents,,
1970,1970_27b,Field of vocational training,Occupation,Indiv. in sampled household,CC,All respondents,,"Business, Nursing, Trades, Engineering, Agriculture, Other"
1970,1970_29a,Any work last week,Occupation,Indiv. in sampled household,BN,14 or over,,
1970,1970_29b,Hours worked last week,Occupation,Indiv. in sampled household,CC,14 or over,,"1 to 14, 15 to 29, 30 to 34, 35 to 39, 40, 41 to 48, 49 to 59, 60 or more"
1970,1970_29c,Location of work,Occupation - Job,Indiv. in sampled household,FT,14 or over,,
1970,1970_29d,Commute mode of transportation,Occupation - Commute,Indiv. in sampled household,CC,14 or over,,"Drive private car, Passenger private car, Bus, Subway, Railroad, Taxi, Walked, Worked at home, Other"
1970,1970_30,Temporarily absent from job or business,Occupation,Indiv. in sampled household,CC,14 or over,,"Yes (layoff), Yes (vacation or illness), No"
1970,1970_31a,Seeking work,Occupation - Unemployment,Indiv. in sampled household,BN,14 or over,,
1970,1970_31b,Reason unable to take a job,Occupation,Indiv. in sampled household,CC,14 or over,,"Yes (employed), Yes (illness), Yes (other), No"
1970,1970_32,Time of last work,Occupation,Indiv. in sampled household,CC,14 or over,,"1970, 1969, 1968, 1964 to 1967, 1960 to 1963, 1959 or earlier, Never worked"
1970,1970_33a,Name of employer,Occupation - Job,Indiv. in sampled household,FT,14 or over,,
1970,1970_33b,Type of business,Occupation - Job,Indiv. in sampled household,FT,14 or over,,
1970,1970_34a,Type of work,Occupation - Job,Indiv. in sampled household,FT,14 or over,,
1970,1970_33c,Industry,Occupation - Job,Indiv. in sampled household,CC,14 or over,,"Manufacturing, Wholesale trade, Retail trade, Other"
1970,1970_34b,Job responsibilities,Occupation - Job,Indiv. in sampled household,FT,14 or over,,
1970,1970_34c,Job title,Occupation - Job,Indiv. in sampled household,FT,14 or over,,
1970,1970_35,Class of worker,Occupation - Job,Indiv. in sampled household,CC,14 or over,,"Private, Federal government, State government, Local government, Self-employed, Unpaid"
1970,1970_37a,Working in 1965,Occupation,Indiv. in sampled household,BN,14 or over,,
1970,1970_37b,Armed forces in 1965,Occupation,Indiv. in sampled household,BN,14 or over,,
1970,1970_37c,College in 1965,Occupation,Indiv. in sampled household,BN,14 or over,,
1970,1970_38a,Industry of work in 1965,Occupation - Job,Indiv. in sampled household,FT,14 or over,,
1970,1970_38b,Occupation in 1965,Occupation - Job,Indiv. in sampled household,FT,14 or over,,
1970,1970_38c,Class of worker in 1965,Occupation - Job,Indiv. in sampled household,CC,14 or over,,"Private or government, Self-employed or unpaid"
1970,1970_39a,Any work in 1969,Occupation,Indiv. in sampled household,BN,14 or over,,
1970,1970_39b,Weeks of work in 1969,Occupation,Indiv. in sampled household,CC,14 or over,,"13 or less, 14 to 26, 27 to 39, 40 to 47, 48 to 49, 50 to 52"
1970,1970_40a,1969 wages as employee,Occupation - Income,Indiv. in sampled household,FM,14 or over,,
1970,1970_40b,1969 wages as owner,Occupation - Income,Indiv. in sampled household,FM,14 or over,,
1970,1970_40c,1969 wages from farm,Occupation - Income,Indiv. in sampled household,FM,14 or over,,
1970,1970_41a,1969 income from Social Security,Occupation - Income,Indiv. in sampled household,FM,14 or over,,
1970,1970_41b,1969 income from public assistance/welfare,Occupation - Income,Indiv. in sampled household,FM,14 or over,,
1970,1970_41c,"1969 income from pension, other",Occupation - Income,Indiv. in sampled household,FM,14 or over,,
1970,1970_36,Residence in 1965,Housing,Indiv. in sampled household,FT,14 or over,,
1970,1970_H,Housing questionnaire,Housing,Sampled Household,CC,All respondents,,
1980,1980_1,Name,Identity,Individual,FT,All respondents,,
1980,1980_2,Relationship to head of family,Family,Individual,CC,All respondents,,"Husband/wife, Son/daughter, Brother/sister, Father/mother, Other relative, Roomer/boarder, Partner/roommate, Employee, Other nonrelative"
1980,1980_6,Marital status,Family,Individual,CC,All respondents,,"Now married, Widowed, Divorced, Separated, Never married"
1980,1980_21a,Married more than once,Family,Indiv. in sampled household,CC,Ever married,,"Once, More than once"
1980,1980_21b,Date of first marriage,Family,Indiv. in sampled household,FD,Ever married,,
1980,1980_21c,First marriage ended becuase of death,Family,Indiv. in sampled household,BN,Ever married,,
1980,1980_20,Mother of how many children,Family,Indiv. in sampled household,CC,"15 or over, female",,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 or more, None"
1980,1980_3,Sex,Identity,Individual,CC,All respondents,,"Male, Female"
1980,1980_4,Race,Race,Individual,CC,All respondents,,"White, Black or Negro, Japanese, Chinese, Filipino, Korean, Vietnamese, American Indian, Asian Indian, Hawaiian, Guamanian, Samoan, Eskimo, Aleut, Other"
1980,1980_5a,Age,Identity,Individual,FN,All respondents,,
1980,1980_5b-5c,Birth month and year,Identity,Individual,FD,All respondents,,
1980,1980_7,Hispanic origin,Race,Individual,CC,All respondents,,"No, Mexican/Chicano, Puerto Rican, Cuban, Yes (other)"
1980,1980_8,Attended school since February 1,Education,Individual,CC,All respondents,,"No, Yes (public), Yes (private/church), Yes (private/non-church)"
1980,1980_9,Education level attended,Education,Individual,CC,All respondents,,"Nursery, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, C1, C2, C3, C4, C5, C6, C7, C8 or more, Never attended"
1980,1980_10,Completed highest grade level,Education,Individual,CC,All respondents,,"Now attending, Finished, Did not finish"
1980,1980_11,Place of Birth (state or country),National origin,Indiv. in sampled household,FT,All respondents,,
1980,1980_12a,Naturalized,Immigration,Indiv. in sampled household,CC,All respondents,,"Yes, No, Born abroad of American parents"
1980,1980_12b,Year of immigration to US,Immigration,Indiv. in sampled household,CC,All respondents,,"1975 to 1980, 1970 to 1974, 1965 to 1969, 1960 to 1964, 1950 to 1959, Before 1950"
1980,1980_13a,Other than English spoken at home,National origin,Indiv. in sampled household,BN,All respondents,,
1980,1980_13b,Languge spoken at home,National origin,Indiv. in sampled household,FT,All respondents,,
1980,1980_13c,English language ability,National origin,Indiv. in sampled household,CC,All respondents,,"Very well, Well, Not well, Not at all"
1980,1980_14,Ancestry/Ethnicity,National origin,Indiv. in sampled household,FT,All respondents,,
1980,1980_15a,Lived here in 1975,Housing,Indiv. in sampled household,CC,All respondents,,"Born April 1975 or later, Yes, No"
1980,1980_15b,Residence in 1975 (+ subquestions),Housing,Indiv. in sampled household,FT,All respondents,,
1980,1980_18a,Veteran status,Veteran status,Indiv. in sampled household,BN,15 or over,,
1980,1980_18b,Period of military service,Veteran status,Indiv. in sampled household,FT,15 or over,,"May 1975 or later, Vietnam, Feb 1955 - July 1964, Korean, WWII, WWI, Other"
1980,1980_19a,Health condition limiting work,Disability,Indiv. in sampled household,BN,15 or over,,
1980,1980_19b,Health condition preventing any work,Disability,Indiv. in sampled household,BN,15 or over,,
1980,1980_19c,Health condition limiting public transportation,Disability,Indiv. in sampled household,BN,15 or over,,
1980,1980_22a,Any work last week,Occupation,Indiv. in sampled household,BN,15 or over,,
1980,1980_22b,Hours worked last week,Occupation,Indiv. in sampled household,FN,15 or over,,
1980,1980_23,Location of work,Occupation - Job,Indiv. in sampled household,FT,15 or over,,
1980,1980_24b,Commute mode of transportation,Occupation - Commute,Indiv. in sampled household,CC,15 or over,,"Car, Truck, Van, Bus, Railroad, Subway, Taxi, Motorcycle, Bicycle, Walked, Worked at home, Other"
1980,1980_24a,Commute duration,Occupation - Commute,Indiv. in sampled household,FN,15 or over,,
1980,1980_24c,Drive alone or carpool,Occupation - Commute,Indiv. in sampled household,CC,15 or over,,"Drive alone, Share driving, Drive others, Passenger only"
1980,1980_24d,Number in carpool,Occupation - Commute,Indiv. in sampled household,CC,15 or over,,"2, 3, 4, 5, 6, 7 or more"
1980,1980_25,Temporarily absent from job or business,Occupation,Indiv. in sampled household,CC,15 or over,,"Yes (layoff), Yes (vacation or illness), No"
1980,1980_26a,Seeking work in last 4 weeks,Occupation - Unemployment,Indiv. in sampled household,BN,15 or over,,
1980,1980_26b,Reason unable to take a job,Occupation,Indiv. in sampled household,CC,15 or over,,"No (has job), No (illness), No (other), Yes"
1980,1980_27,Time of last work,Occupation,Indiv. in sampled household,CC,15 or over,,"1980, 1979, 1978, 1975 to 1977, 1970 to 1974, 1969 or earlier, Never worked"
1980,1980_28a,Name of employer,Occupation - Job,Indiv. in sampled household,FT,15 or over,,
1980,1980_28b,Type of business,Occupation - Job,Indiv. in sampled household,FT,15 or over,,
1980,1980_29a,Type of work,Occupation - Job,Indiv. in sampled household,FT,15 or over,,
1980,1980_28c,Industry,Occupation - Job,Indiv. in sampled household,CC,15 or over,,"Manufacturing, Wholesale trade, Retail trade, Other"
1980,1980_29b,Job responsibilities,Occupation - Job,Indiv. in sampled household,FT,15 or over,,
1980,1980_30,Class of worker,Occupation - Job,Indiv. in sampled household,CC,15 or over,,"Private, Federal government, State government, Local government, Self-employed, Unpaid"
1980,1980_17c,Working in 1975,Occupation,Indiv. in sampled household,BN,15 or over,,
1980,1980_17a,Armed forces in 1975,Occupation,Indiv. in sampled household,BN,15 or over,,
1980,1980_17b,College in 1975,Occupation,Indiv. in sampled household,BN,15 or over,,
1980,1980_31a,Any work in 1979,Occupation,Indiv. in sampled household,BN,15 or over,,
1980,1980_31b,Weeks of work in 1979,Occupation,Indiv. in sampled household,FN,15 or over,,
1980,1980_31c,Hours of work per week in 1979,Occupation,Indiv. in sampled household,FN,15 or over,,
1980,1980_31d,Weeks looking for work in 1979,Occupation - Unemployment,Indiv. in sampled household,FN,15 or over,,
1980,1980_32a,1979 wages as employee,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1980,1980_32b,1979 wages as owner,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1980,1980_32c,1979 wages from farm,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1980,1980_32e,1979 income from Social Security,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1980,1980_32f,1979 income from public assistance/welfare,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1980,1980_32g,"1979 income from unemployment, pension, etc.",Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1980,1980_32d,1979 income from outside sources,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1980,1980_33,Total income in 1979,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1980,1980_H,Household questionnaire,Housing,Sampled Household,CC,All respondents,,
1990,1990_1,Name,Identity,Individual,FT,All respondents,,
1990,1990_2,Relationship to head of family,Family,Individual,CC,All respondents,,"Husband/wife, Natural-born or adopted son/daughter, Stepson/daughter, Brother/sister, Father/mother, Grandchild, Roomer/boarder, Housemate/roommate, Unmarried partner, Other nonrelative"
1990,1990_3,Sex,Identity,Individual,CC,All respondents,,"Male, Female"
1990,1990_4,Race,Race,Individual,CC,All respondents,,"White, Black or Negro, American Indian, Eskimo, Aleut, Chinese, Filipino, Hawaiian, Korean, Vietnamese, Japanese, Asian Indian, Samoan, Guamanian, Other API,  Other"
1990,1990_5a,Age,Identity,Individual,FN,All respondents,,
1990,1990_5b,Year of birth,Identity,Individual,FD,All respondents,,
1990,1990_6,Marital status,Family,Individual,CC,All respondents,,"Now married, Widowed, Divorced, Separated, Never married"
1990,1990_7,Hispanic origin,Race,Individual,CC,All respondents,,"No, Yes (Mexican/Chicano), Yes (Puerto Rican), Yes (Cuban), Yes (other)"
1990,1990_8,Place of Birth (state or country),National origin,Indiv. in sampled household,FT,All respondents,,
1990,1990_15a,Other than English spoken at home,National origin,Indiv. in sampled household,BN,All respondents,,
1990,1990_15b,Languge spoken at home,National origin,Indiv. in sampled household,FT,All respondents,,
1990,1990_15c,English language ability,National origin,Indiv. in sampled household,CC,All respondents,,"Very well, Well, Not well, Not at all"
1990,1990_13,Ancestry/Ethnicity,National origin,Indiv. in sampled household,FT,All respondents,,
1990,1990_9,Citizenship,Immigration,Indiv. in sampled household,CC,All respondents,,"Yes (born in US), Yes (born in US territory), Yes (born abroad of American parents), Yes (nationalized), No"
1990,1990_10,Year of immigration to US,Immigration,Indiv. in sampled household,CC,All respondents,,"1987 to 1990, 1985 to 1986, 1982 to 1984, 1980 to 1981, 1975 to 1979, 1970 to 1974, 1965 to 1969, 1960 to 1964, 1950 to 1959, Before 1950"
1990,1990_11,Attended school since February 1,Education,Indiv. in sampled household,CC,All respondents,,"No, Yes (public), Yes (private)"
1990,1990_12,Education level completed,Education,Indiv. in sampled household,CC,All respondents,,"No, Nursery, K, 1 through 4, 5 through 8, 9, 10, 11, 12 (no diploma), HS graduate, Some college, Associate (occupational), Associate (academic), Bachelor's, Master's, Professional, Doctorate"
1990,1990_14a,Lived here in 1985,Housing,Indiv. in sampled household,CC,All respondents,,"Born after April 1985, Yes, No"
1990,1990_14b,Residence in 1985 (+ subquestions),Housing,Indiv. in sampled household,FT,All respondents,,
1990,1990_17a,Armed services,Veteran status,Indiv. in sampled household,CC,15 or over,,"Yes (active), Yes (active in past), Yes (Reserves/NG), No"
1990,1990_17b,Period of military service,Veteran status,Indiv. in sampled household,CC,15 or over,,"September 1980 or later, May 1975 to August 1980, Vietnam, Feb 1955 to July 1964, Korean, WWII, WWI, Other"
1990,1990_17c,Years of active duty service,Veteran status,Indiv. in sampled household,FN,15 or over,,
1990,1990_18a,Health condition limiting work,Disability,Indiv. in sampled household,BN,15 or over,,
1990,1990_18b,Health condition preventing work,Disability,Indiv. in sampled household,BN,15 or over,,
1990,1990_19a,Health condition difficulty going out,Disability,Indiv. in sampled household,BN,15 or over,,
1990,1990_19b,Health condition difficulty at home,Disability,Indiv. in sampled household,BN,15 or over,,
1990,1990_20,Mother of how many children,Family,Indiv. in sampled household,CC,"15 or over, female",,"None, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 or more"
1990,1990_21a,Any work last week,Occupation,Indiv. in sampled household,BN,15 or over,,
1990,1990_21b,Hours worked last week,Occupation,Indiv. in sampled household,FN,15 or over,,
1990,1990_22,Location of work last week,Occupation - Job,Indiv. in sampled household,FT,15 or over,,
1990,1990_23a,Commute mode of transportation,Occupation - Commute,Indiv. in sampled household,CC,15 or over,,"Car/truck/van, Bus, Streetcar, Subway, Railroad, Ferry, Taxi, Motorcycle, Bicycle, Walked, Worked at home, Other"
1990,1990_23b,Number in carpool,Occupation - Commute,Indiv. in sampled household,CC,15 or over,#N/A,#N/A
1990,1990_24a,Time left for work,Occupation - Commute,Indiv. in sampled household,FN,15 or over,,
1990,1990_24b,Commute duration,Occupation - Commute,Indiv. in sampled household,FN,15 or over,,
1990,1990_25,Temporarily absent from job or business,Occupation,Indiv. in sampled household,CC,15 or over,,"Yes (layoff), Yes (vacation or illness), No"
1990,1990_26a,Seeking work in last 4 weeks,Occupation - Unemployment,Indiv. in sampled household,BN,15 or over,,
1990,1990_26b,Reason unable to take a job,Occupation,Indiv. in sampled household,CC,15 or over,,"No (has job), No (illness), No (other), Yes"
1990,1990_27,Time of last work,Occupation,Indiv. in sampled household,CC,15 or over,,"1990, 1989, 1988, 1985 to 1987, 1980 to 1984, 1979 or earlier, Never"
1990,1990_28a,Name of employer (current/last),Occupation - Job,Indiv. in sampled household,FT,15 or over,,
1990,1990_28b,Type of business (current/last),Occupation - Job,Indiv. in sampled household,FT,15 or over,,
1990,1990_29a,Type of work (current/last),Occupation - Job,Indiv. in sampled household,FT,15 or over,,
1990,1990_28c,Industry (current/last),Occupation - Job,Indiv. in sampled household,CC,15 or over,,"Manufacturing, Wholesale trade, Retail trade, Other"
1990,1990_29b,Job responsibilities (current/last),Occupation - Job,Indiv. in sampled household,FT,15 or over,,
1990,1990_30,Class of worker (current/last),Occupation - Job,Indiv. in sampled household,CC,15 or over,,"Private (for-profit), Private (non-profit), Local government, State government, Federal government, Self-employed (unincorporated), Self-employed (incorporated), Unpaid"
1990,1990_31a,Any work in 1989,Occupation,Indiv. in sampled household,BN,15 or over,,
1990,1990_31b,Weeks of work in 1989,Occupation,Indiv. in sampled household,FN,15 or over,,
1990,1990_31c,Hours of work per week in 1989,Occupation,Indiv. in sampled household,FN,15 or over,,
1990,1990_32a,1989 wages as employee,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1990,1990_32b,1989 wages as owner,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1990,1990_32c,1989 wages from farm,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1990,1990_32e,1989 income from Social Security,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1990,1990_32f,1989 income from public assistance/welfare,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1990,1990_32g,1989 income from retirement or disability,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1990,1990_32h,"1989 income from VA, unemployment, etc.",Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1990,1990_32d,1989 income from outside sources,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1990,1990_33,Total income in 1989,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
1990,1990_H,Housing questionnaire,Housing,Sampled Household,CC,All respondents,,
2000,2000_r1,# of people living here,[Admin.],Reference Individual,FN,All respondents,,
2000,2000_r2,Rent or own,Housing,Household,CC,All respondents,,"Owned (mortgage/loan), Owned (free and clear), Rented for cash, Occupied without rent"
2000,2000_r4,Telephone number,[Admin.],Reference Individual,FN,All respondents,,
2000,2000_1,Name,Identity,Individual,FT,All respondents,,
2000,2000_2,Relationship to head of family,Family,Individual,CC,All respondents,,"Husband/wife, Natural-born son/daughter, Adopted son/daughter, Stepson/daughter, Brother/sister, Father/mother, Grandchild, Parent-in-law, Son-/daughter-in-law, Other relative, Roomer/boarder, Housemate/roommate, Unmarried partner, Foster child, Other nonrelative"
2000,2000_3,Sex,Identity,Individual,CC,All respondents,,"Male, Female"
2000,2000_4,Date of birth / age,Identity,Individual,FN,All respondents,,
