index,year,level,sport,winner,winner_metro,runner_up,runner_up_metro,final_four3,final_four3_metro,final_four4,final_four4_metro
238,1946,pro,MLB,St. Louis Cardinals,"St. Louis, MO",Boston Red Sox,"Greater Boston, MA",Detroit Tigers,"Metro Detroit, MI",Brooklyn Dodgers,New York Metro Area
239,1946,pro,CFL,Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",,,,
240,1946,pro,NFL,Chicago Bears,"Chicago, IL",New York Giants,New York Metro Area,,,,
241,1947,college,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,
242,1947,college,Basketball (M),Holy Cross Crusaders,"Worcester, MA",Oklahoma Sooners,"Oklahoma City, OK",Texas Longhorns,"Austin, TX",City College of New York Beavers,New York Metro Area
243,1947,pro,NBA,Philadelphia Warriors,"Greater Philadelphia, PA",Chicago Stags,"Chicago, IL",New York Knicks,New York Metro Area,Washington Capitols,"Washington, DC Metro Area"
244,1947,pro,NHL,Toronto Maple Leafs,"Toronto, ON",Montreal Canadiens,"Montreal, QC",Detroit Red Wings,"Metro Detroit, MI",Boston Bruins,"Greater Boston, MA"
245,1947,college,Baseball (M),California Golden Bears,"San Francisco Bay Area, CA",Yale Bulldogs,"New Haven, CT",New York University Violets,New York Metro Area,Texas Longhorns,"Austin, TX"
246,1947,pro,MLB,New York Yankees,New York Metro Area,Brooklyn Dodgers,New York Metro Area,Detroit Tigers,"Metro Detroit, MI",St. Louis Cardinals,"St. Louis, MO"
247,1947,pro,CFL,Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",,,,
248,1947,pro,NFL,Chicago Cardinals,"Chicago, IL",Philadelphia Eagles,"Greater Philadelphia, PA",,,,
249,1948,college,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,
250,1948,college,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Baylor Bears,"Waco, TX",Holy Cross Crusaders,"Worcester, MA",Kansas State Wildcats,"Manhattan, KS"
251,1948,pro,NBA,Baltimore Bullets,"Baltimore, MD",Philadelphia Warriors,"Greater Philadelphia, PA",Chicago Stags,"Chicago, IL",St. Louis Bombers,ERROR
252,1948,pro,NHL,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",New York Rangers,New York Metro Area,Boston Bruins,"Greater Boston, MA"
253,1948,college,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Yale Bulldogs,"New Haven, CT",Lafayette Leopards,"Lehigh Valley, NJ-PA",Baylor Bears,"Waco, TX"
254,1948,pro,MLB,Cleveland Indians,"Cleveland, OH",Boston Braves,"Greater Boston, MA",Boston Red Sox,"Greater Boston, MA",St. Louis Cardinals,"St. Louis, MO"
255,1948,pro,CFL,Calgary Stampeders,"Calgary, AB",Ottawa Rough Riders,"Ottawa, ON",,,,
256,1948,pro,NFL,Philadelphia Eagles,"Greater Philadelphia, PA",Chicago Cardinals,"Chicago, IL",,,,
257,1949,college,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,
258,1949,college,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Oklahoma State Cowboys,"Stillwater, OK",Illinois Fighting Illini,"Champaign-Urbana, IL",Oregon State Beavers,"Corvallis, OR"
259,1949,pro,NBA,Minneapolis Lakers,"Twin Cities, MN",Washington Capitols,"Washington, DC Metro Area",Rochester Royals,"Rochester, NY",New York Knicks,New York Metro Area
260,1949,pro,NHL,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Boston Bruins,"Greater Boston, MA",Montreal Canadiens,"Montreal, QC"
261,1949,college,Baseball (M),Texas Longhorns,"Austin, TX",Wake Forest Demon Deacons,"Winston-Salem, NC",Wake Forest Demon Deacons,"Winston-Salem, NC",USC Trojans,"Greater Los Angeles, CA"
262,1949,pro,MLB,New York Yankees,New York Metro Area,Brooklyn Dodgers,New York Metro Area,Boston Red Sox,"Greater Boston, MA",St. Louis Cardinals,"St. Louis, MO"
263,1949,pro,CFL,Montreal Alouettes,"Montreal, QC",Calgary Stampeders,"Calgary, AB",,,,
264,1949,pro,NFL,Philadelphia Eagles,"Greater Philadelphia, PA",Los Angeles Rams,"Greater Los Angeles, CA",,,,
265,1950,college,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,
266,1950,college,Basketball (M),City College of New York Beavers,New York Metro Area,Bradley Braves,"Peoria, IL",North Carolina State Wolfpack,"Greater Raleigh, NC",Baylor Bears,"Waco, TX"
267,1950,pro,NHL,Detroit Red Wings,"Metro Detroit, MI",New York Rangers,New York Metro Area,Montreal Canadiens,"Montreal, QC",Toronto Maple Leafs,"Toronto, ON"
268,1950,pro,NBA,Minneapolis Lakers,"Twin Cities, MN",Syracuse Nationals,"Syracuse, NY",New York Knicks,New York Metro Area,Fort Wayne Pistons,"Fort Wayne, IN"
269,1950,college,Baseball (M),Texas Longhorns,"Austin, TX",Washington State Cougars,"Pullman, WA",Rutgers Scarlet Knights,"New Brunswick, NJ",Wisconsin Badgers,"Madison, WI"
270,1950,pro,MLB,New York Yankees,New York Metro Area,Philadelphia Phillies,"Greater Philadelphia, PA",Detroit Tigers,"Metro Detroit, MI",Brooklyn Dodgers,New York Metro Area
271,1950,pro,CFL,Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",,,,
272,1950,pro,NFL,Cleveland Browns,"Cleveland, OH",Los Angeles Rams,"Greater Los Angeles, CA",,,,
273,1951,college,Football (M),Oklahoma Sooners,"Oklahoma City, OK",,,,,,
274,1951,college,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Kansas State Wildcats,"Manhattan, KS",Illinois Fighting Illini,"Champaign-Urbana, IL",Oklahoma State Cowboys,"Stillwater, OK"
275,1951,pro,NBA,Rochester Royals,"Rochester, NY",New York Knicks,New York Metro Area,Minneapolis Lakers,"Twin Cities, MN",Syracuse Nationals,"Syracuse, NY"
276,1951,pro,NHL,Toronto Maple Leafs,"Toronto, ON",Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Detroit Red Wings,"Metro Detroit, MI"
277,1951,college,Baseball (M),Oklahoma Sooners,"Oklahoma City, OK",Tennessee Volunteers,"Knoxville, TN",USC Trojans,"Greater Los Angeles, CA",Utah Utes,"Salt Lake City, UT"
278,1951,pro,MLB,New York Yankees,New York Metro Area,New York Giants,New York Metro Area,Cleveland Indians,"Cleveland, OH",Brooklyn Dodgers,New York Metro Area
279,1951,pro,CFL,Ottawa Rough Riders,"Ottawa, ON",Saskatchewan Roughriders,"Regina, SK",,,,
280,1951,pro,NFL,Los Angeles Rams,"Greater Los Angeles, CA",Cleveland Browns,"Cleveland, OH",,,,
281,1952,college,Football (M),Tennessee Volunteers,"Knoxville, TN",,,,,,
282,1952,college,Basketball (M),Kansas Jayhawks,"Lawrence, KS",St. John's Red Storm,New York Metro Area,Illinois Fighting Illini,"Champaign-Urbana, IL",Santa Clara Broncos,"San Jose-Santa Clara, CA"
283,1952,pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Toronto Maple Leafs,"Toronto, ON"
284,1952,pro,NBA,Minneapolis Lakers,"Twin Cities, MN",New York Knicks,New York Metro Area,Rochester Royals,"Rochester, NY",Syracuse Nationals,"Syracuse, NY"
285,1952,college,Baseball (M),Holy Cross Crusaders,"Worcester, MA",Missouri Tigers,"Columbia, MO",Penn State Nittany Lions,"State College, PA",Western Michigan Broncos,"Kalamazoo, MI"
286,1952,pro,MLB,New York Yankees,New York Metro Area,Brooklyn Dodgers,New York Metro Area,Cleveland Indians,"Cleveland, OH",New York Giants,New York Metro Area
287,1952,pro,CFL,Toronto Argonauts,"Toronto, ON",Edmonton Eskimos,"Edmonton, AB",,,,
288,1952,pro,NFL,Detroit Lions,"Metro Detroit, MI",Cleveland Browns,"Cleveland, OH",,,,
289,1953,college,Football (M),Michigan State Spartans,"East Lansing, MI",,,,,,
290,1953,college,Basketball (M),Indiana Hoosiers,"Bloomington, IN",Kansas Jayhawks,"Lawrence, KS",Washington Huskies,"Seattle,WA",LSU Fighting Tigers,"Baton Rouge, LA"
291,1953,pro,NHL,Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Detroit Red Wings,"Metro Detroit, MI",Chicago Black Hawks,"Chicago, IL"
292,1953,pro,NBA,Minneapolis Lakers,"Twin Cities, MN",New York Knicks,New York Metro Area,Fort Wayne Pistons,"Fort Wayne, IN",Boston Celtics,"Greater Boston, MA"
293,1953,college,Baseball (M),Michigan Wolverines,"Ann Arbor, MI",Texas Longhorns,"Austin, TX",Michigan Wolverines,"Ann Arbor, MI",Boston College Eagles,"Greater Boston, MA"
294,1953,pro,MLB,New York Yankees,New York Metro Area,Brooklyn Dodgers,New York Metro Area,Cleveland Indians,"Cleveland, OH",Milwaukee Braves,"Milwaukee, WI"
295,1953,pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",Winnipeg Blue Bombers,"Winnipeg, MB",,,,
296,1953,pro,NFL,Detroit Lions,"Metro Detroit, MI",Cleveland Browns,"Cleveland, OH",,,,
297,1954,college,Football (M),Maryland Terrapins,"Washington, DC Metro Area",,,,,,
298,1954,college,Basketball (M),La Salle Explorers,"Greater Philadelphia, PA",Bradley Braves,"Peoria, IL",Penn State Nittany Lions,"State College, PA",South Carolina Gamecocks,"Columbia, SC"
299,1954,pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Toronto Maple Leafs,"Toronto, ON"
300,1954,pro,NBA,Minneapolis Lakers,"Twin Cities, MN",Syracuse Nationals,"Syracuse, NY",Rochester Royals,"Rochester, NY",Boston Celtics,"Greater Boston, MA"
301,1954,college,Baseball (M),Missouri Tigers,"Columbia, MO",Rollins Tars,"Greater Orlando, FL",Michigan State Spartans,"East Lansing, MI",Oklahoma State Cowboys,"Stillwater, OK"
302,1954,pro,MLB,New York Giants,New York Metro Area,Cleveland Indians,"Cleveland, OH",New York Yankees,New York Metro Area,Brooklyn Dodgers,New York Metro Area
303,1954,pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",,,,
304,1954,pro,NFL,Cleveland Browns,"Cleveland, OH",Detroit Lions,"Metro Detroit, MI",,,,
305,1955,college,Football (M),Ohio State Buckeyes,"Columbus, OH",,,,,,
306,1955,college,Football (M),UCLA Bruins,"Greater Los Angeles, CA",,,,,,
307,1955,college,Basketball (M),San Francisco Dons,"San Francisco Bay Area, CA",La Salle Explorers,"Greater Philadelphia, PA",Colorado Buffaloes,"Boulder, CO",Iowa Hawkeyes,"Iowa City, IA"
308,1955,pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Toronto Maple Leafs,"Toronto, ON"
309,1955,pro,NBA,Syracuse Nationals,"Syracuse, NY",Fort Wayne Pistons,"Fort Wayne, IN",Minneapolis Lakers,"Twin Cities, MN",Boston Celtics,"Greater Boston, MA"
310,1955,college,Baseball (M),Wake Forest Demon Deacons,"Winston-Salem, NC",Western Michigan Broncos,"Kalamazoo, MI",Arizona Wildcats,"Tucson, AZ",Oklahoma State Cowboys,"Stillwater, OK"
311,1955,pro,MLB,Brooklyn Dodgers,New York Metro Area,New York Yankees,New York Metro Area,Cleveland Indians,"Cleveland, OH",Milwaukee Braves,"Milwaukee, WI"
312,1955,pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",,,,
313,1955,pro,NFL,Cleveland Browns,"Cleveland, OH",Los Angeles Rams,"Greater Los Angeles, CA",,,,
314,1956,college,Football (M),Oklahoma Sooners,"Oklahoma City, OK",,,,,,
315,1956,college,Basketball (M),San Francisco Dons,"San Francisco Bay Area, CA",Iowa Hawkeyes,"Iowa City, IA",Temple Owls,"Greater Philadelphia, PA",Saint Mary's Gaels,"San Francisco Bay Area, CA"
316,1956,pro,NBA,Philadelphia Warriors,"Greater Philadelphia, PA",Fort Wayne Pistons,"Fort Wayne, IN",St. Louis Hawks,"St. Louis, MO",Syracuse Nationals,"Syracuse, NY"
317,1956,pro,NHL,Montreal Canadiens,"Montreal, QC",Detroit Red Wings,"Metro Detroit, MI",Toronto Maple Leafs,"Toronto, ON",New York Rangers,New York Metro Area
318,1956,college,Baseball (M),Minnesota Golden Gophers,"Twin Cities, MN",Arizona Wildcats,"Tucson, AZ",Bradley Braves,"Peoria, IL",Ole Miss Rebels,"Oxford, MS"
319,1956,pro,MLB,New York Yankees,New York Metro Area,Brooklyn Dodgers,New York Metro Area,Cleveland Indians,"Cleveland, OH",Milwaukee Braves,"Milwaukee, WI"
320,1956,pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",,,,
321,1956,pro,NFL,New York Giants,New York Metro Area,Chicago Bears,"Chicago, IL",,,,
322,1957,college,Football (M),Oklahoma Sooners,"Oklahoma City, OK",,,,,,
323,1957,college,Basketball (M),North Carolina Tar Heels,"Greater Raleigh, NC",Kansas Jayhawks,"Lawrence, KS",San Francisco Dons,"San Francisco Bay Area, CA",Michigan State Spartans,"East Lansing, MI"
324,1957,pro,NBA,Boston Celtics,"Greater Boston, MA",St. Louis Hawks,"St. Louis, MO",Minneapolis Lakers,"Twin Cities, MN",Syracuse Nationals,"Syracuse, NY"
325,1957,pro,NHL,Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,Detroit Red Wings,"Metro Detroit, MI"
326,1957,college,Baseball (M),California Golden Bears,"San Francisco Bay Area, CA",Penn State Nittany Lions,"State College, PA",Iowa State Cyclones,"Ames, IA",Notre Dame Fighting Irish,"Notre Dame, IN"
327,1957,pro,MLB,Milwaukee Brewers,"Milwaukee, WI",New York Yankees,New York Metro Area,Chicago White Sox,"Chicago, IL",St. Louis Cardinals,"St. Louis, MO"
328,1957,pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",Winnipeg Blue Bombers,"Winnipeg, MB",Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC"
329,1957,pro,NFL,Detroit Lions,"Metro Detroit, MI",Cleveland Browns,"Cleveland, OH",,,,
330,1958,college,Football (M),Auburn Tigers,"Auburn, AL",,,,,,
331,1958,college,Football (M),Ohio State Buckeyes,"Columbus, OH",,,,,,
332,1958,college,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Seattle Redhawks,"Seattle,WA",Temple Owls,"Greater Philadelphia, PA",Kansas State Wildcats,"Manhattan, KS"
333,1958,pro,NBA,St. Louis Hawks,"St. Louis, MO",Boston Celtics,"Greater Boston, MA",Detroit Pistons,"Metro Detroit, MI",Philadelphia Warriors,"Greater Philadelphia, PA"
334,1958,pro,NHL,Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,Detroit Red Wings,"Metro Detroit, MI"
335,1958,college,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Missouri Tigers,"Columbia, MO",Western Michigan Broncos,"Kalamazoo, MI",Holy Cross Crusaders,"Worcester, MA"
336,1958,pro,MLB,New York Yankees,New York Metro Area,Milwaukee Braves,"Milwaukee, WI",Chicago White Sox,"Chicago, IL",Pittsburgh Pirates,"Pittsburgh, PA"
337,1958,pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Hamilton Tiger-Cats,"Hamilton, ON",Edmonton Eskimos,"Edmonton, AB",Ottawa Rough Riders,"Ottawa, ON"
338,1958,pro,NFL,Baltimore Colts,"Baltimore, MD",New York Giants,New York Metro Area,,,,
339,1959,college,Football (M),Iowa Hawkeyes,"Iowa City, IA",,,,,,
340,1959,college,Football (M),LSU Fighting Tigers,"Baton Rouge, LA",,,,,,
341,1959,college,Basketball (M),California Golden Bears,"San Francisco Bay Area, CA",West Virginia Mountaineers,"Morgantown, WV",Cincinnati Bearcats,"Cincinnati, OH",Louisville Cardinals,"Louisville, KY"
342,1959,pro,NBA,Boston Celtics,"Greater Boston, MA",Minneapolis Lakers,"Twin Cities, MN",St. Louis Hawks,"St. Louis, MO",Syracuse Nationals,"Syracuse, NY"
343,1959,pro,NHL,Montreal Canadiens,"Montreal, QC",Toronto Maple Leafs,"Toronto, ON",Boston Bruins,"Greater Boston, MA",Chicago Black Hawks,"Chicago, IL"
344,1959,college,Baseball (M),Oklahoma State Cowboys,"Stillwater, OK",Arizona Wildcats,"Tucson, AZ",Penn State Nittany Lions,"State College, PA",Fresno State Bulldogs,"Fresno, CA"
345,1959,pro,MLB,Los Angeles Dodgers,"Greater Los Angeles, CA",Chicago White Sox,"Chicago, IL",Cleveland Indians,"Cleveland, OH",Milwaukee Braves,"Milwaukee, WI"
346,1959,pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Hamilton Tiger-Cats,"Hamilton, ON",Edmonton Eskimos,"Edmonton, AB",Ottawa Rough Riders,"Ottawa, ON"
347,1959,pro,NFL,Baltimore Colts,"Baltimore, MD",New York Giants,New York Metro Area,,,,
348,1960,college,Football (M),Syracuse Orange,"Syracuse, NY",,,,,,
349,1960,college,Basketball (M),Ohio State Buckeyes,"Columbus, OH",California Golden Bears,"San Francisco Bay Area, CA",Cincinnati Bearcats,"Cincinnati, OH",New York University Violets,New York Metro Area
350,1960,pro,NBA,Boston Celtics,"Greater Boston, MA",St. Louis Hawks,"St. Louis, MO",Minneapolis Lakers,"Twin Cities, MN",Philadelphia Warriors,"Greater Philadelphia, PA"
351,1960,pro,NHL,Montreal Canadiens,"Montreal, QC",Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Chicago Black Hawks,"Chicago, IL"
352,1960,college,Baseball (M),Minnesota Golden Gophers,"Twin Cities, MN",USC Trojans,"Greater Los Angeles, CA",Arizona Wildcats,"Tucson, AZ",Oklahoma State Cowboys,"Stillwater, OK"
353,1960,pro,MLB,Pittsburgh Pirates,"Pittsburgh, PA",New York Yankees,New York Metro Area,Baltimore Orioles,"Baltimore, MD",Milwaukee Braves,"Milwaukee, WI"
354,1960,pro,CFL,Ottawa Rough Riders,"Ottawa, ON",Edmonton Eskimos,"Edmonton, AB",Winnipeg Blue Bombers,"Winnipeg, MB",Toronto Argonauts,"Toronto, ON"
355,1960,pro,NFL,Philadelphia Eagles,"Greater Philadelphia, PA",Green Bay Packers,"Green Bay, WI",,,,
356,1961,college,Football (M),Minnesota Golden Gophers,"Twin Cities, MN",,,,,,
357,1961,college,Football (M),Ole Miss Rebels,"Oxford, MS",,,,,,
358,1961,college,Basketball (M),Cincinnati Bearcats,"Cincinnati, OH",Ohio State Buckeyes,"Columbus, OH",,,Utah Utes,"Salt Lake City, UT"
359,1961,pro,NBA,Boston Celtics,"Greater Boston, MA",St. Louis Hawks,"St. Louis, MO",Los Angeles Lakers,"Greater Los Angeles, CA",Syracuse Nationals,"Syracuse, NY"
360,1961,pro,NHL,Chicago Black Hawks,"Chicago, IL",Detroit Red Wings,"Metro Detroit, MI",Toronto Maple Leafs,"Toronto, ON",Montreal Canadiens,"Montreal, QC"
361,1961,college,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Oklahoma State Cowboys,"Stillwater, OK",Syracuse Orange,"Syracuse, NY",Boston College Eagles,"Greater Boston, MA"
362,1961,pro,MLB,New York Yankees,New York Metro Area,Cincinnati Reds,"Cincinnati, OH",Detroit Tigers,"Metro Detroit, MI",Los Angeles Dodgers,"Greater Los Angeles, CA"
363,1961,pro,NFL,Green Bay Packers,"Green Bay, WI",New York Giants,New York Metro Area,,,,
364,1961,pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Hamilton Tiger-Cats,"Hamilton, ON",Toronto Argonauts,"Toronto, ON",Calgary Stampeders,"Calgary, AB"
365,1962,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,
366,1962,college,Football (M),Ohio State Buckeyes,"Columbus, OH",,,,,,
367,1962,college,Basketball (M),Cincinnati Bearcats,"Cincinnati, OH",Ohio State Buckeyes,"Columbus, OH",Wake Forest Demon Deacons,"Winston-Salem, NC",UCLA Bruins,"Greater Los Angeles, CA"
368,1962,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Detroit Pistons,"Metro Detroit, MI",Philadelphia 76ers,"Greater Philadelphia, PA"
369,1962,pro,NHL,Toronto Maple Leafs,"Toronto, ON",Chicago Black Hawks,"Chicago, IL",New York Rangers,New York Metro Area,Montreal Canadiens,"Montreal, QC"
370,1962,college,Baseball (M),Michigan Wolverines,"Ann Arbor, MI",Santa Clara Broncos,"San Jose-Santa Clara, CA",Florida State Seminoles,"Tallahassee, FL",Texas Longhorns,"Austin, TX"
371,1962,pro,MLB,New York Yankees,New York Metro Area,San Francisco Giants,"San Francisco Bay Area, CA",Minnesota Twins,"Twin Cities, MN",Los Angeles Dodgers,"Greater Los Angeles, CA"
372,1962,pro,NFL,Green Bay Packers,"Green Bay, WI",New York Giants,New York Metro Area,,,,
373,1962,pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Hamilton Tiger-Cats,"Hamilton, ON",Calgary Stampeders,"Calgary, AB",Montreal Alouettes,"Montreal, QC"
374,1963,college,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,
375,1963,college,Basketball (M),Loyola Ramblers,"Chicago, IL",Cincinnati Bearcats,"Cincinnati, OH",Duke Blue Devils,"Greater Raleigh, NC",Oregon State Beavers,"Corvallis, OR"
376,1963,pro,NHL,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Chicago Black Hawks,"Chicago, IL",Montreal Canadiens,"Montreal, QC"
377,1963,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",St. Louis Hawks,"St. Louis, MO",Cincinnati Royals,"Cincinnati, OH"
378,1963,college,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Arizona Wildcats,"Tucson, AZ",Texas Longhorns,"Austin, TX",Missouri Tigers,"Columbia, MO"
379,1963,pro,MLB,Los Angeles Dodgers,"Greater Los Angeles, CA",New York Yankees,New York Metro Area,Chicago White Sox,"Chicago, IL",St. Louis Cardinals,"St. Louis, MO"
380,1963,pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",BC Lions,"Vancouver, BC",Saskatchewan Roughriders,"Regina, SK",Ottawa Rough Riders,"Ottawa, ON"
381,1963,pro,NFL,Chicago Bears,"Chicago, IL",New York Giants,New York Metro Area,,,,
382,1964,college,Football (M),Texas Longhorns,"Austin, TX",,,,,,
383,1964,college,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Duke Blue Devils,"Greater Raleigh, NC",Michigan Wolverines,"Ann Arbor, MI",Kansas State Wildcats,"Manhattan, KS"
384,1964,pro,NHL,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Chicago Black Hawks,"Chicago, IL",Montreal Canadiens,"Montreal, QC"
385,1964,pro,NBA,Boston Celtics,"Greater Boston, MA",San Francisco Warriors,"San Francisco Bay Area, CA",St. Louis Hawks,"St. Louis, MO",Cincinnati Royals,"Cincinnati, OH"
386,1964,college,Baseball (M),Minnesota Golden Gophers,"Twin Cities, MN",Missouri Tigers,"Columbia, MO",Maine Black Bears,"Orono, ME",USC Trojans,"Greater Los Angeles, CA"
387,1964,pro,MLB,St. Louis Cardinals,"St. Louis, MO",New York Yankees,New York Metro Area,Chicago White Sox,"Chicago, IL",Cincinnati Reds,"Cincinnati, OH"
388,1964,pro,CFL,BC Lions,"Vancouver, BC",Hamilton Tiger-Cats,"Hamilton, ON",Calgary Stampeders,"Calgary, AB",Ottawa Rough Riders,"Ottawa, ON"
389,1964,pro,NFL,Cleveland Browns,"Cleveland, OH",Baltimore Colts,"Baltimore, MD",,,,
390,1965,college,Football (M),Arkansas Razorbacks,"Northwest Arkansas, AR",,,,,,
391,1965,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,
392,1965,college,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,
393,1965,college,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Michigan Wolverines,"Ann Arbor, MI",Princeton Tigers,"Princeton, NJ",Wichita State Shockers,"Wichita, KS"
394,1965,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Baltimore Bullets,"Baltimore, MD",Philadelphia 76ers,"Greater Philadelphia, PA"
395,1965,pro,NHL,Montreal Canadiens,"Montreal, QC",Chicago Black Hawks,"Chicago, IL",Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI"
396,1965,college,Baseball (M),Arizona State Sun Devils,"Metro Phoenix, AZ",Ohio State Buckeyes,"Columbus, OH",Saint Louis Billikens,"St. Louis, MO",Washington State Cougars,"Pullman, WA"
397,1965,pro,MLB,Los Angeles Dodgers,"Greater Los Angeles, CA",Minnesota Twins,"Twin Cities, MN",Chicago White Sox,"Chicago, IL",San Francisco Giants,"San Francisco Bay Area, CA"
398,1965,pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",Winnipeg Blue Bombers,"Winnipeg, MB",Calgary Stampeders,"Calgary, AB",Ottawa Rough Riders,"Ottawa, ON"
399,1965,pro,NFL,Green Bay Packers,"Green Bay, WI",Cleveland Browns,"Cleveland, OH",,,,
400,1966,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,
401,1966,college,Football (M),Michigan State Spartans,"East Lansing, MI",,,,,,
402,1966,college,Basketball (M),UTEP Miners,"El Paso, TX",Kentucky Wildcats,"Lexington-Fayette, KY",Duke Blue Devils,"Greater Raleigh, NC",Utah Utes,"Salt Lake City, UT"
403,1966,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",St. Louis Hawks,"St. Louis, MO",Philadelphia 76ers,"Greater Philadelphia, PA"
404,1966,pro,NHL,Montreal Canadiens,"Montreal, QC",Detroit Red Wings,"Metro Detroit, MI",Chicago Black Hawks,"Chicago, IL",Toronto Maple Leafs,"Toronto, ON"
405,1966,college,Baseball (M),Ohio State Buckeyes,"Columbus, OH",Oklahoma State Cowboys,"Stillwater, OK",USC Trojans,"Greater Los Angeles, CA",St. John's Red Storm,New York Metro Area
406,1966,pro,MLB,Baltimore Orioles,"Baltimore, MD",Los Angeles Dodgers,"Greater Los Angeles, CA",Minnesota Twins,"Twin Cities, MN",San Francisco Giants,"San Francisco Bay Area, CA"
407,1966,pro,CFL,Saskatchewan Roughriders,"Regina, SK",Ottawa Rough Riders,"Ottawa, ON",Winnipeg Blue Bombers,"Winnipeg, MB",Hamilton Tiger-Cats,"Hamilton, ON"
408,1966,pro,NFL,Green Bay Packers,"Green Bay, WI",Dallas Cowboys,"Dallas-Fort Worth, TX",,,,
409,1967,college,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,
410,1967,college,Football (M),Michigan State Spartans,"East Lansing, MI",,,,,,
411,1967,pro,NFL,Green Bay Packers,"Green Bay, WI",Kansas City Chiefs,"Kansas City, MO",Dallas Cowboys,"Dallas-Fort Worth, TX",,
412,1967,college,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Dayton Flyers,"Dayton, OH",Houston Cougars,"Houston, TX",North Carolina Tar Heels,"Greater Raleigh, NC"
413,1967,pro,NBA,Philadelphia 76ers,"Greater Philadelphia, PA",San Francisco Warriors,"San Francisco Bay Area, CA",St. Louis Hawks,"St. Louis, MO",Boston Celtics,"Greater Boston, MA"
