"schoolName","state","link","text"
"UNION HIGH SCHOOL","IA","http://www.union.k12.ia.us/wp-content/uploads/2018/07/2018-19-Student-Handbook.pdf","There is a strong connection between academic performance,
students’ appearance and students’ conduct. Inappropriate 5
student appearance may cause material and substantial
disruption to the school environment or present a threat to
the health and safety of students, employees and visitors to
the school. Students are expected to adhere to reasonable
levels of cleanliness and modesty. Students are expected to
wear clothing that is appropriate to their age level and that
does not disrupt the school or educational environment.
Students are prohibited from wearing clothing advertising or
promoting items illegal for use by minors including, but not
limited to, alcohol or tobacco, from wearing shoes with cleats
except for outdoor athletic practices; and from wearing
clothing displaying obscenity, profanity, vulgarity, racial or
sexual remarks, making reference to prohibited conduct or
similar displays. Under certain circumstances or during certain
classes or activities a more strict dress code may be
appropriate, and students must comply with the stricter
requirement. The principal makes the final determination of
the appropriateness of the student’s appearance. Students
who are inappropriately dressed will be required to make
modifications. Students will not be allowed to wear any type of headgear in
the school building during the school day.
Students will not possess water guns, toys or other similar
items in the academic/activity areas, which in the opinion of
the teacher or administrator, interfere with the educational
environment, Such items will be taken away from the student
and returned at a later time.
Students will not possess radios, headsets, televisions, water
guns, toys or other similar items in the academic/activity
areas which, in the opinion of the teacher or administrator,
interfere with the educational environment. Such items will be
taken away from the student and returned at a later date."
"SEDRO WOOLLEY SENIOR HIGH SCHOOL","WA","https://www.swsd.k12.wa.us/cms/lib/WA01000765/Centricity/domain/60/2018-19/Handbk_18-19.pdf","School dress standards set a tone that impacts the learning environment. Students are expected to wear appropriate clothing for all
school functions. Dress standards for school differ from what students might wear to the mall or on the streets. Clothing that directly
or indirectly advertises gangs, guns or violence or suggests the use of drugs, alcohol, tobacco products or which attracts undue
attention is considered disruptive to the educational process and therefore may not be worn. Administrative decisions will be final.
These guidelines must be followed:
What should be covered…
• Clothing that is revealing or displays underwear or the torso is not allowed.
• Clothing should cover and extend half way between the knee and beltline.
• Bandanas are not permitted. Hats are permitted in all common areas, but are at teacher discretion in the classroom.
• Sunglasses are not permitted indoors. Any exception must have medical documentation on record in the office. Clothing should not be worn that is marked or decorated with illustrations of tobacco; alcohol; drugs; sexual
innuendo; word or phrases that are vulgar or obscene or promote behaviors that violate school conduct standards.
This can include “gang” colors or identifying clothing (i.e. ICP garments) if the students are acting in ways that
display a gang mentality. 
• Spiked jewelry, chains and spiked belts are not allowed. Belts must not hang down.
We ask that parents support this process. Students violating the dress code will be required to obtain a change of
clothes from home or wear a shirt provided by the school. Students will also be issued an on-line discipline
infraction."
"ATASCADERO HIGH","CA","http://www.atas.k12.ca.us/ausd/ahs/pdfs/ahs/2018-19%20Handbook.pdf","In cooperation with teachers, students, and parents/guardians, the principal or designee shall establish school rules
governing student dress and grooming which are consistent with District policy and regulations. These school dress
codes shall be regularly reviewed.
The following procedures, together with the basic policy, constitute the dress code for the schools:
 1. All school personnel working under the direction of the administration are responsible for providing an
atmosphere on school campuses which is conducive to proper behavior, attitudes, and learning.
 2. All students are expected to wear clothes that are clean, neat, properly fitted, and in good repair. Likewise, all
students are expected to be clean and neat in their grooming. The Board prohibits the presence of any apparel,
 jewelry, accessory, notebook or manner of grooming which, by virtue of its color, arrangement, trademark, or
any other attribute, denotes membership in gangs which advocate drug use, violence, or disruptive behavior.
3. Any manner of dress or grooming which presents a potentially disruptive influence in the school is to be
corrected.
4. Each school administration is to enforce suitable rules and regulations which affect the health and safety of
students in all activities, both instructional and co-curricular. Each school administration shall interpret what is
appropriate according to the rules set forth below.
5. Each school administration may establish more stringent rules for students participating in performing groups,
sports, and other situations where students represent the school in the community.
6. Variations from the basic dress code may be established for special events.
7. The following is a list of items to be used as guidelines in the determination of acceptable dress and grooming
for students.
Presenting a bodily appearance or wearing clothing which is disruptive, revealing, profane, vulgar, offensive or obscene,
or which endangers the health and safety of other students is prohibited. Examples of prohibited dress or appearance
include, but are not limited to:
● Attire that exposes cleavage
● Exposed undergarments/no proper undergarments
● Excessively sagging pants
● Excessively short or tight garments
● Bare midriff shirts/pants
● Strapless shirts
● Attire with messages or illustrations that are lewd, indecent or vulgar
● Attire that advertises products or services not permitted by law to minors
● See-through clothing
● Any adornment such as chains or spikes that could reasonably be perceived as a weapon
● Any symbol, style or attire frequently associated with gangs, intimidation, violence or violent groups
● Headgear of any kind may not be worn in buildings
● Shoes must be worn at all times
The following procedures are guidelines for implementing the policy and the code:
1. Teachers, counselors, or administrators are to make a reasonable attempt to counsel students whose grooming and/or
dress deviates from the dress code.
2. A student who is found to be in violation of the dress code may be sent home or may otherwise be required to
properly prepare himself/herself for school.
3. If the violations continue, contact is to be made with the parents/guardians by the school representative and the
parents/guardians are to be made aware of the failure of the student to conform to the rules and regulations of the
school.
4. Continued violation of the dress code constitutes willful disobedience and is good cause for disciplinary
consequences including detention, Saturday school, in-house suspension, suspension or expulsion from school.
Gang-Related Apparel​ 13
At individual schools that have a dress code prohibiting gang-related apparel at school or school activities, the principal,
staff and parents/guardians participating in the development of the school safety plan shall define “gang-related apparel”
and shall limit this definition to apparel that reasonably could be determined to threaten the health and safety of the
school environment if it were worn or displayed on a school campus. Because gang-related symbols are constantly
changing, definitions of gang-related apparel shall be reviewed at least once each semester and updated whenever related
information is received. (EC35183)"
"AGWSR HIGH SCHOOL","IA","https://drive.google.com/file/d/1ynna1BsBpLGYgkXSzQ-MqUJZGIpH7Cdb/view","Students are expected to dress appropriately for school and school activities. Dress and personal appearance should
be safe, healthful, and not interfere with or distract from the educational process.
Personal Appearance
It is expected that students will come to school appropriately dressed. Examples of student apparel that are not
acceptable during school or school-related activities are the following:
1. Caps, hats, bandanas, and other types of ""outdoor"" clothing
2. Shirts or patches worn with obscene or double meaning slogans, sayings, or pictures
3. Shirts or patches that advertise alcohol, tobacco, or other banned substances
4. Halter tops, bare midriff styles or spaghetti straps. (Shirts should have at least 1” wide straps)
5. Apparel that reveals any portion of undergarments
6. Skirts and shorts that are less than the length of the extended arms (including fingers). Interior pockets
should not be visible below the hem.
7. Other items or apparel deemed improper. The principal is responsible for the interpretation of the above guidelines. If at any time student apparel is
judged to constitute a health or safety hazard, be disruptive of the educational process, or is contrary to community
standards and values, students will be asked to modify their appearance to an acceptable level.

If in doubt, don't wear it!

Parents are urged to monitor student dress and assist the child in making appropriate decisions. General cleanliness
of body and clothing is of the utmost importance. Studies show there is a direct relationship between the type of
clothing worn and the way children conduct themselves.
Iowa’s educational standards require that students from grades one through twelve be taught the effects of alcohol,
tobacco, drugs and poisons on the human body as part of their health and physical education. Any message
depicting the use of alcohol or drugs runs counter to our educational mission. While the primary responsibility for
appearance rests with the students and their parents, the administration reserves the right to judge what is proper
and what is not. Please carefully screen t-shirt communication. We stress the importance of communicating with
each other in a respectful manner and some t-shirts do not support that effort.
Students will not be allowed to wear any type of headgear (caps, hats, headbands, or bandanas) in educational areas
and the lunchroom. Students will be asked to promptly remove their headgear when they enter the building. Short
shirts that allow the exposure of the midriff in either boys or girls will not be allowed."
"KEYSTONE HIGH SCHOOL","OH","https://campussuite-storage.s3.amazonaws.com/prod/1558539/e6993890-0b80-11e8-9faf-12e31b6c9d14/1793331/857a0f46-7429-11e8-8818-12cccf388932/file/KHS%20Student%20Handbook%202018-19.pdf","Students must be hygienically clean and neat. Clothing should be clean, modest in style and in
good repair so not to interfere with the learning process. Shoes must be worn at all times.
Clothing which is determined to be detrimental to health and safety or disruptive to the
academic atmosphere of the school will not be permitted. Students in Physical Education may
be required by the instructor to temporarily alter such clothing as it might restrict the student
from full participation or may be dangerous to the student's safety.
13
Parents and students should be aware and understand that violations in student dress will
result in the student being removed from class and/or sent home to change their attire. Class
time that is missed will be considered unexcused. Consequences for dress code violations
include, but are not limited to, verbal warning, changing clothes, detentions and suspension.
For the purpose of clarification, the following guidelines have been established:
1. Wearing of hats or head coverings of any kind will not be permitted in the classroom
during school hours unless medically necessary or relevant to one’s religious practices.
Head covering will be stored in lockers during school hours.
2. Articles of clothing that advertise alcoholic beverages, drugs or with obscene,
suggestive, or questionable printing will not be permitted.
3. Sunglasses are not to be worn unless prescribed by a physician.
4. Shorts for all students and skirts for girls must be longer than fingertip length.
5. If tights are worn under skirts or shorts, the shorts and skirt still have to fingertip length
or longer. If tights are worn, they cannot be worn just by themselves. Midriffs must be
covered and pants waist hip-high.
6. All dress must be school appropriate, based on the opinion of staff and/or office staff.
7. School athletic uniforms are not to be worn in class unless it is part of the team dress
for game day or during a designated ""Spirit Day"".
8. No pajamas, sleepwear or slippers are to be worn to school.
9. Winter jackets and coats should be stored in lockers during the school hours.
10. No pants that have holes that expose skin above the knee or expose undergarments.
11. No tops that expose undergarments or excessive skin.
12. Tops must have straps that are three inches in width.
13. No top can expose any part of the midriff."
"CUBA HIGH","MO","http://www.cuba.k12.mo.us/HighSchool/studenthandbook.pdf","The appearance of any young person is primarily the responsibility of that
student and his/her parents. We expect students to maintain the type of
appearance that is not distracting to teachers, other students, or to the
detriment of the educational process of the school.
The following general guidelines will be followed concerning appropriate
student dress.
1. Shirts and shorts worn by students should cover all undergarments.
If they are visible, the clothing is not acceptable for the school
setting. A student’s back, shoulder, and midriff should be covered
by the shirt they elect to wear to school.
2. Sports Jerseys must have a t-shirt worn underneath them.
3. Sleeveless shirts should not have larger openings than the normal
sleeve removed from the shirt.
4. Shorts and Shirts should be of sufficient length to not create a
distraction to students and teachers.
5. Clothing or accessories with advertisements of alcoholic beverages,
drug references, tobacco products, and clothing or accessories that
are sexually explicit or that contain sexually implied messages shall
be prohibited.
6. Hats, caps, bandannas, sunglasses, or chains of any kind are not to
be worn in the school building.
No policy can be written to cover all examples that occur each year.
The student dress practices and fashion changes from time-to-time
and the administration will determine if these disrupt the educational
process."
"ONTARIO HIGH SCHOOL","OR","https://docs.google.com/document/d/1_GKMPx99vD3_FSb7fbEZ6kcThm7XY7_gOHvzN_MKeIk/view","Because all casual clothing is not suitable for the classroom, these guidelines will help determine what is appropriate to wear to school. Clothing that works well for the beach, yard work, dance clubs, exercise sessions, sleeping, and sports contests are not appropriate for an educational environment. Clothing that reveals cleavage, your back, your chest, your stomach or your underwear is not appropriate for the classroom and will not be tolerated.  Any clothing that has words, terms or pictures that may be offensive to other students or staff is unacceptable. Clothing that has the OHS school logo is encouraged.  School dress code applies to all activities before or after school hours where all or part of the expectation of your attendance is that you are representing OHS.  For example, all club, award, banquet and performance activities, and all public forums where you represent the school, such as school board and community organization presentations.
 
SPECIFIC GUIDELINES:
All students must wear school issued lanyards with ID badges and must be visible by staff everyday as part of OHS dress code expectations.  
Wearing/carrying hats of any kind is not allowed on school property during the school day from 7:00 am to 3:30 pm.  Hats cannot be visible on campus during these hours. They will be taken and a parent must come and pick up in the office. They must be put away inside your bag.  Hoodies are allowed, but hoods are off in the building at all times.
Graphics and/or symbols on any personal item (to include clothing, backpacks, binders, body art, etc.) that any staff member deems as inappropriate, or disruptive to the learning environment, due to content, implied meaning, or gang/drug affiliation is not allowed. This includes, but is not limited to, sexual innuendos.  Rosaries may not be worn outside of clothing.
Clothing with Ontario High School logo is encouraged.  The “Straight Out of O-Town Logo” may not be worn.
All shirts must have sleeves.
Blankets cannot be worn or used on campus.
Professional sports team clothing (to include jackets, backpacks, lanyards, binders, etc.) is not allowed.  College team clothing is allowed.
The back, stomach, chest, and back side should be covered. Skin should not be visible even through clothing.  
Necklines cannot dip below the straight line made across the chest when crossing from the top of one armpit to the other.
All shorts, skirts, dresses, and tunics (long shirts) must come within enough inches from the knee that inappropriate exposure does not occur when bending over, squatting and/or sitting down - this will be at the final discretion of OSC and administrative staff, so please check this before leaving home.
All clothing must fit correctly.  No sagging, baggy or extremely tight clothing which includes leggings, yoga pants, and athletic wear unless worn under tunics, dresses, and skirts.
No holes or rips (even stylistically intentional, even with layers underneath) are allowed in pants, shorts or skirts.
No house slippers or pajamas (including bottoms) are allowed.
Ontario School District may provide religious exemptions in dress codes and/or uniform policies.
If clothing fails to meet standards as determined by OHS Staff, the student will be allowed to call home for a change of clothes and then return to the learning environment.  If the student incurs multiple dress code violations, progressive disciplinary action will be applied. 
 
IF DRESS CODE VIOLATION CANNOT BE FIXED PERMANENTLY AND IMMEDIATELY, STUDENTS ARE SENT TO THE OSC IMMEDIATELY.  THE OSC WILL CALL HOME FOR CLOTHING AND WHEN ISSUE IS RESOLVED, THE STUDENT WILL BE SENT BACK TO CLASS.  NOTE:  PUTTING A SWEATSHIRT ON OR ZIPPING A COAT UP IS NOT AN OPTION FOR PERMANENT RESOLUTION.
 
ANY ITEM LISTED ABOVE THAT IS DETERMINED TO BE A VIOLATION OF THE DRESS CODE MAY BE TAKEN IMMEDIATELY AND PARENTS MAY BE REQUIRED TO RETRIEVE IT AT THE OFFICE."
"GOSHEN CENTRAL HIGH SCHOOL","NY","https://www.gcsny.org/departments/schoolsafety/code-of-conduct/#V","The responsibility for the dress and appearance of students shall rest with the individual students and
parents. They have the right to determine how the student will dress, provided that such attire does not
interfere with the operation of the school or infringe upon the general health, safety and welfare of
district students or employees. Student must be dressed in appropriate clothing and protective
equipment as required for physical education classes, participation in athletics, science laboratories
and home and careers skills classes. The administration is authorized to take action in instances where
individual dress does not meet these stated requirements.

A student’s dress, grooming and appearance, including hair style/color, jewelry, makeup and nails
shall:

Be safe, appropriate, and not disrupt or interfere with the educational process.
Include footwear at all times. Footwear that is a safety hazard will not be allowed.
Not include items that are vulgar, obscene, libelous, or denigrate other because of race, color, weight, religion, religious practice, ancestry, national origin, ethnic group, gender/sex, sexual orientation or disability.
Not promote and/or endorse the use of alcohol, tobacco or illegal drugs, and/or encourage other illegal or violent activities.
Wearing of hats will be in accordance with the student’s building level code of conduct.

Each building principal shall be responsible for informing all students and their parents of the dress
code at the beginning of the school year and any revisions to the dress code made during the school
year.

Students who violate the dress code shall be required to modify their appearance by covering or
removing the offending item and, if necessary or practical, replacing it with an acceptable item. Any
student who refuses to do so shall be subject to discipline, up to and including in-school suspension for
the day. Any student who repeatedly fails to comply with the dress code shall be subject to further
discipline, up to and including out-of-school suspension."
"BATESVILLE HIGH SCHOOL","AR","https://docs.google.com/document/d/1ToGHTpg8VMm1zDWo_5tW4OYh6xvPTC4yRHJGXLyiC90/edit#heading=h.hlalejp0ytoa","The Batesville Board of Education recognizes that dress can be a matter of personal      taste and preference.  At the same time, the District has a responsibility to promote an environment conducive to student learning. This requires limitations to student dress and grooming that could be disruptive to the educational process because they are immodest, disruptive, unsanitary, unsafe, could cause property damage, or are offensive to common standards of decency. 

Students are prohibited from wearing, while on the school grounds during the school day and at school-sponsored events, clothing that exposes underwear, buttocks, or the breast of a female.

The Superintendent shall establish student dress codes for the District’s schools, to be included in the student handbook, and are consistent with the above criteria.
"
"ALAMO HEIGHTS H S","TX","http://www.ahisd.net/common/pages/UserFile.aspx?fileId=17014819","The district’s dress code is established to teach grooming and hygiene, prevent disruption, and
minimize safety hazards. Students and parents may determine a student’s personal dress and
grooming standards, provided that they comply with the following
The District prohibits any clothing or grooming that, in the principal's judgment, may reasonably
be expected to cause disruption of, or interference with normal school operations, or that is
determined by the school's principal or designee to be gang-related or, in reasonable probability,
would be construed as gang-related. The District prohibits pictures, emblems, or writings that
are lewd, offensive, vulgar, or obscene, or that advertise or depict tobacco products, alcoholic
beverages, drugs, or any other substance or paraphernalia prohibited under Policy FNCF
(LEGAL/LOCAL). The student and parent may determine the student's personal dress and
grooming standards, provided they comply with these general guidelines and the District's dress
code for students in the Student Handbook
If the principal determines that a student’s grooming or clothing violates the school’s dress code,
the student will be given an opportunity to correct the problem at school. If not corrected, the
student may be assigned to in-school suspension for the remainder of the day, until the problem
is corrected, or until a parent or designee brings an acceptable change of clothing to the school.
Repeated offenses may result in more serious disciplinary action in accordance with the Student
Code of Conduct."
"RANCHO VERDE HIGH","CA","https://docs.google.com/document/d/1eHpEtMkiruXoz-lqAoLTK-9Y4SFXUGB7mXCU62EE5Ko/edit","Education Code 35183 authorizes school districts to adopt dress codes. The Val Verde Unified school District's Board of Education is legally and ethically responsible for the establishment of classroom and campus environments that are conducive to an orderly and productive educational program. The dress and grooming standards of this policy are required to meet this responsibility and establish minimum standards in the schools of the Val Verde Unified School 
Dress and grooming should fit the school situation. Standards of appearance require careful implementation. In all cases, neatness, health and safety, and appropriateness shall be observed. The Superintendent shall implement regulations that will provide for the enforcement of the requirements included in the California Code of Regulations, Title 5, Division 2, 
Section 302:""A pupil who goes to school without proper attention having been given to personal cleanliness or neatness of dress, may be sent home to be properly prepared for school, or shall be required to prepare himself (herself) for the schoolroom before entering.”
 
The following minimum standards shall be enforced in the Val Verde Unified School District in order to meet the requirements of the California
Code of Regulations regarding grooming, dress, and appearance and the Education Code regarding free expression:
A.   	Any clothing, makeup, hairstyle or wig that has been demonstrated to contribute to the substantial disruption of the 
orderly operation of the school is inappropriate / unacceptable for school attire. Dress should be suitable and 
comfortable for normal school activities. Clothing should
correspond with the demands and purpose of the activity in which students participate. Clothing should be clean and in 
good repair.
B. 	Skirts and shorts shall be worn at an appropriate/acceptable length for sitting as well as standing so that 
undergarments shall not show. Skirts and dresses may be of any style if all slits, openings and the length are no higher 
than half the distance between the knees and waist and do not
expose one's underclothing. No undergarments or posteriors shall show.
C.  	Pants must fit at the hip so they will stay on without a belt.
D.  	Footwear must be worn at all times and have hard soles. (Tennis shoes are appropriate/ acceptable, soft-soled slippers 
are unacceptable).
E. 	Apparel with emblems, printing, etc., that are obscene, libelous, or slanderous, or that incite students as to create a 
clear and present danger are not permitted on campus and may not be worn. Skin art, which is obscene or libelous or so incites students as to create a clear and present danger of the commission of unlawful acts on school premises, must be covered.
F. 	The following items of clothing are considered inappropriate/unacceptable for school attire:
1. 	Strapless, halter tops, tube tops, spaghetti straps less than 2” that expose any part of an undergarment
2. 	Bare midriffs (no skin showing)
3. 	Undergarments showing, (clothing under regular wear such as shorts for sagging pants)
4. 	Chains or weapons (chains such as those attached to belts, pockets, or wallets present a safety hazard)
5. 	No shirts
6. 	Lack of undergarments
7. 	Shirts, tops or sweaters unbuttoned below the sternum
8. 	Bathing suits (except in the swimming pool areas and locker rooms)
9. 	Hats ,Doo Rags, visors of any kind, or sunglasses inside classrooms or office area
10.  Electronic equipment, including remote control devices, personal stereos and recording equipment
"
"SOUTH SENIOR HIGH","MN","http://south.mpls.k12.mn.us/uploads/new_2018-19_student_handbook_w-athletics_for_doc_ctr.pdf","South staff and student council members have worked together to establish the following dress criteria:
1. While in the building, on field trips, or at school events, student apparel with any of the following characteristics is not allowed:
§ Lewd, vulgar, or obscene.
§ Promotes products or activities that are illegal for use by minors.
§ Contains objectionable emblems, signs, words, objects, or pictures communicating a message that is racist, sexist, or otherwise derogatory to a protected minority
group or which connotes gang membership.
§ Contains objects that may cause harm, such as spikes.
§ Disruptive to the school environment.
Students who wear clothing inappropriate for school will be required to remove, correct, or change the items. Students may also be sent home to change.
2. Wearing of
• masks,
• sunglasses,
• or any eye covering is not allowed."
"SINTON H S","TX","http://www.sintonisd.net/wp/wp-content/uploads/2018/07/2018-2019-SHB.pdf","The district’s dress code is established to teach grooming and hygiene, prevent disruption, and
minimize safety hazards. Students and parents may determine a student’s personal dress and
grooming standards, provided that they comply with the district board approved dress code.
If the principal determines that a student’s grooming or clothing violates the school’s dress code,
the student will be given an opportunity to correct the problem at school. If not corrected, the
student may be assigned to in-school suspension for the remainder of the day, until the problem
is corrected, or until a parent or designee brings an acceptable change of clothing to the school.
Repeated offenses may result in more serious disciplinary action in accordance with the Student
Code of Conduct. 
THE DISTRICT PROHIBITS ANY CLOTHING/GROOMING THAT THE PRINCIPAL/ASSISTANT PRINCIPAL OR DESIGNEE BELIEVES
WILL INTERFERE WITH INSTRUCTION OR CAUSE DISRUPTION OF THE NORMAL SCHOOL ENVIRONMENT. THE FINAL DECISION IS
LEFT UP TO THE PROFESSIONAL JUDGMENT OF THE PRINCIPAL/ASSISTANT PRINCIPAL OF THE SCHOOL.

The District's dress code is established
to teach grooming and hygiene, instill
discipline, prevent disruption, avoid
safety hazards, and teach respect for
authority. Generally, the school may
provide temporary clothing [i.e.
sweats], allow the student to change,
or have appropriate clothing brought
to school for the first week of school,
after that the student may be
suspended, placed in D-Hall, or ISS.
Items that are deemed inappropriate
may be confiscated. Confiscated
items may be held by the
Principal/Assistant Principal until the
conclusion of the school year.
Campus administrators shall be
accorded the authority and discretion
to rule on whether any article of
clothing, jewelry, or tattoos is
acceptable for the school year. This
shall include new styles not expressly
covered in the handbook. If the
principal determines that a student’s
grooming violates the dress code, the
student shall be given an opportunity
to correct the problem at school. If not
corrected, the student shall notify a
parent or designee to bring an
acceptable change of clothes.
Students and parents may determine a
student's personal dress and grooming
standards, provided that they comply
with the following:
GENERAL
1. Grooming and dress requirements
may be modified to fit special
events such as dances, field trips,
programs, contests or assemblies.
The principal or designee prior to
the event should approve
modifications to the normal school
day requirements.
2. Tattoos and body art which
promote nudity, obscenity or gang
activity must be covered.
HAIR
1. Hair should be neat, clean and not
interfere with vision. The style
should not be extreme to the point
of creating a danger or distraction.
2. Hair must be a natural color (as
determined by the Principal/Assistant
Principal).
3. Male hair length may extend to,
but not past, the bottom of the
collar of a shirt or to the neckline
of a T-shirt when combed down.
No designs or symbols will be
shaved into hair or eyebrows.
4. The face must be clean-shaven (no
mustaches, goatees, or muttonchops).
This applies to all
students. (Only a letter from State
Board Certified dermatologists
may determine the need for a
student to be excluded from
shaving).
CLOTHING
1. Shoes are to be worn at all
times. Rubber shower sandals,
and bedroom slippers are not
allowed. No wheeled shoes.
Tennis shoes must be worn
during PE.
2. Clothing should cover the body
and fit in such a manner as to
promote the modesty of the
individual. Clothing shall be
appropriate for school wear and
worn as it is designed to be
worn.
3. The following are not acceptable
school wear:
• Muscle shirts, sleeveless shirts,
tank tops (Boys-Gr. 3-12)
• Shoulder Straps must be a
minimum of 1 inch on each
shoulder (Girls-Grades 3-12)
• Pajamas or other sleeping attire
4. Clothing, which exposes the
mid-section of the body while
sitting, standing, or when arms
are raised above the head is not
allowed.
5. Dresses, shirts and blouses shall
not be extremely low cut in the
front, back or sides.
Determination of ‘extreme’ shall
be at the subjective judgment of
the principal/assistant principal.
6. Denim jeans and pants shall not
contain holes, slits, or cuts that
allow the showing of skin. 
SINTON ISD
2018-2019 DRESS CODE
7. Clothing which allows
undergarments to be seen is not
allowed.
8. Appropriate undergarments
should be worn and not visible.
9. Shorts, dresses and skirts
(including slits in skirts) are
appropriate provided they are no
more than 4” inches above the
knee. Height of the student shall
not be considered as a
determining factor.
10. Pants and shorts must be worn at
the waistline or above the hips.
Pants shall not be of excessive
length. Pants and shorts may not
be excessively baggy.
11. Clothing displaying violent,
satanic, obscene, vulgar,
sexually suggestive or racist
picture or slogans shall not be
worn.
12. No trench coats or dusters are
allowed.
13. Clothing displaying pictures,
advertisements, slogans, or registered
trademarks for alcohol, drugs or
tobacco is not allowed.
14. Clothing associated with drugs or
gang affiliation shall not be worn.
The principal/assistant principal has
the subjective discretion to determine
gang affiliation.
ACCESSORIES
1. Hats and caps are not to be worn
inside the school buildings at all
campuses.
2. Sunglasses shall not be worn inside
of the school building or taken into
the classroom. Only prescription eyeglasses
are allowed
3. Adornment of male attire should be
limited to watches, rings, bracelets,
and necklaces. Rope chains or large
metal chains may not be worn, either
around the neck, as a watch chain, or
a belt.
4. No body piercing other than earrings
for girls is allowed. Devices for
maintaining pierced openings are
considered body piercing or earrings
including earlobe-stretching or
“gauging” and shall not be worn.
Jewelry and accessories shall not
cause a distraction, or be dangerous
to the individual or others.
5. No mouth jewelry known as “grills”
will be allowed.
6. No dog collars, leashes, spiked
collars, spiked bracelets, chokers or
chains are to be worn.
DAEP
Discipline Alternative Education Program
Sinton ISD Dress Code Applies With The
Following Additions:
1. No jewelry including watches, rings,
earrings or piercings of any kind
2. Shirts or T- shirts with NO writing,
emblems or designs other than school
spirit shirts
3. Shirts must be tucked in at all times
4. Fitted blue jeans or khaki pants
5. No baggy pants, coveralls, overalls,
shorts, warm-ups or wind suits
6. No steel toed boots, sandals or open
toe shoes; including slip on clogs
7. No purses or make-up "
"LOMPOC HIGH","CA","https://www.lusd.org/cms/lib/CA01001399/Centricity/Domain/1310/STUDENT%20HANDBOOK%202018-19.pdf","We believe the students at Lompoc High School are
mature individuals who will dress and act responsibly.
We believe that basic rules of sanitation, neatness and
modesty must be observed. Furthermore, we believe
that the integrity of the learning environment must be
preserved. Therefore, students should not dress in a
manner that will be disruptive to the learning process,
nor should they use clothing or accessories in a
disruptive manner. Clothing and accessories are to be
used and worn as intended. Regular school dress
standards are expected at all school functions.
Clothing that interrupts the instructional process will be
deemed inappropriate by school authorities. A student
whose mode of dress is deemed to be unsuitable or
inappropriate may be asked by school personnel to
make the necessary corrections in personal appearance
and parents may be notified.
• No excessively short skirts, shorts or dresses.
Skirts, shorts and dresses must no shorter than
six inches above the knee.
• No bare midriffs, tube tops, crop tops or haltertops.
• No spaghetti straps.
• No clothing that advertises alcohol, drugs,
tobacco products, or violence.
• No bandanas or doo rags.
• No hats, visors, or sunglasses are to be worn
inside.
• No chains except for traditional items of jewelry.
• All clothing must fit properly and must not be
more than two sizes larger than the student’s
normal clothing size.
• Undergarments must not show.
• No clothing with designs or lettering generally
considered vulgar, obscene, suggestive, or
gang-related, as determined by the SRO.
• Shoes or sandals must be worn at all times for
safety and health reasons.
• No clothing that is revealing or immodest in
character.
A teacher may require stricter guidelines for safety
reasons. The final determination of any dress code
violation is left to the discretion of the principal or
designee."
"EASTERN HIGH SCHOOL","MI","https://www.fhps.net/documents/fhps-high-school-student-handbook.pdf/","Students’ dress and grooming must not disrupt the educational process, interfere with the maintenance
of a positive teaching/learning climate, or compromise reasonable school and/or community standards of
health, safety and decency. It is incumbent upon school personnel as well as parents/guardians to so
instruct students in this respect.
Examples of clothing not considered appropriate for school include, but are not limited to:
 Clothing that exposes the stomach or back (no bare midriff).
 Mesh shirts or shirts with the sides cut out.
9
 Tube tops, halter tops, tank style undershirts, and tops with spaghetti straps.
 Clothing that reveals undergarments (bras/underwear).
 Baggy or sagging pants showing undergarments.
 Leggings/spandex that are transparent or have mesh on buttocks.
 Shorts/skirts must be appropriate for the school setting at the discretion of staff.
 Articles of clothing that contain slogans or symbols making reference to or promoting illegal
substances (including alcohol and tobacco).
 Articles of clothing that display words, pictures or symbols that are derogatory, racist, violent,
obscene, vulgar or suggestive.
 No costumes, masks or face painting is allowed at school or school events at any time.
 Sunglasses
Unless for purposes of religious observance, headwear of any kind (including sweatshirt hoodies) is not
allowed during the school day or at school dances."
