name,year,party,white,male,whiteMale,RWB,redHex,whiteHex,blueHex,other1Hex,other2Hex,other3Hex,image
Ellen McCormack,1976,Democratic,Y,N,FALSE,Y,#fe2900,#ffffff,#0251d0,#000000,,,1976-mccormack.jpg
Roger MacBride,1976,Libertarian,Y,Y,TRUE,N,,,,#5fac66,#0b0e1d,,1976-macbride.jpg
Ben Bubar,1976,Prohibition,Y,Y,TRUE,N,#d32b2b,#ffffff,,#000000,,,1976-bubar.jpg
Frank Zeidler,1976,Socialist,Y,Y,TRUE,Y,#e83940,#ffffff,#59a5d7,,,,1976-zeidler.jpg
Gus Hall,1976,Communist,Y,Y,TRUE,N,,,,#f8531d,#000000,,1976-hall.jpg
Vance Hartke,1972,Democratic,Y,Y,TRUE,Y,#fe0853,#ffffff,,,,,1972-hartke.jpg
Terry Sanford,1972,Democratic,Y,Y,TRUE,Y,,#ffffff,#082c9c,,,,
Fred Harris,1972,Democratic,Y,Y,TRUE,N,,#ffffff,#0c1c6a,#fdf860,,,1972-harris.jpg
Eugene J. McCarthy,1972,Democratic,Y,Y,TRUE,N,,#ffffff,,#333333,,,1972-mccarthy.jpg
George McGovern,1972,Democratic,Y,Y,TRUE,Y,,#ffffff,#000074,,,,1972-mcgovern.jpg
John Ashbrook,1972,Republican,Y,Y,TRUE,Y,#db553c,#ffffff,#1f37bf,#000000,,,1972-ashbrook.jpg
John Lindsay,1972,Democratic,Y,Y,TRUE,Y,#e93326,#ffffff,#1b24a3,,,,1972-lindsay.jpg
George Wallace,1972,Democratic,Y,Y,TRUE,Y,#fe1044,#ffffff,#094cd9,,,,1972-wallace.jpg
Hubert Humphrey,1972,Democratic,Y,Y,TRUE,Y,#ba4531,#ffffff,#091760,,,,1972-humphrey.jpg
Henry M. Jackson,1972,Democratic,Y,Y,TRUE,Y,#c5241a,#ffffff,#1121b5,#0e1860,,,1972-jackson.jpg
Harold Hughes,1972,Democratic,Y,Y,TRUE,Y,#e74538,#ffffff,#3485b2,#000000,,,1972-hughes.jpg
Shirley Chisholm,1972,Democratic,N,N,FALSE,N,,,,#fdab01,#000000,,1972-chisholm.jpg
Pete McCloskey,1972,Republican,Y,Y,TRUE,Y,#f40105,#ffffff,#00005a,,,,1972-mccloskey.jpg
Ralph Yarborough,1972,Democratic,Y,Y,TRUE,Y,#e63224,#ffffff,#030389,,,,1972-yarborough.jpg
Wilbur Mills,1972,Democratic,Y,Y,TRUE,Y,#d04f39,#ffffff,#132589,,,,1972-mills.jpg
Edmund Muskie,1972,Democratic,Y,Y,TRUE,N,,,,#40205f,#df6c40,,1972-muskie.jpg
Sam Yorty,1972,Democratic,Y,Y,TRUE,Y,#e2563d,#ffffff,#192ea3,,,,1972-yorty.jpg
Richard Nixon,1972,Republican,Y,Y,TRUE,Y,#ff0103,#ffffff,#000070,,,,1972-nixon.jpg
Patsy Mink,1972,Democratic,N,N,FALSE,N,,,#2b608a,#fad6d8,,,1972-mink.jpg
John G. Schmitz,1972,American Independent,Y,Y,TRUE,Y,#e62e46,#ffffff,#050bff,,,,1972-schmitz.jpg
John Hospers,1972,Libertarian,Y,Y,TRUE,N,,#ffffff,#2e1a7b,,,,1972-hospers.jpg
Linda Jenness,1972,Socialist Workers,Y,N,FALSE,N,,#ffffff,,#65d449,#000000,,1972-jenness.jpg
Benjamin Spock,1972,Peoples,Y,Y,TRUE,N,#c63018,,,#000000,,,1972-spock.jpg
Hubert Humphrey,1968,Democratic,Y,Y,TRUE,Y,#ca4c36,#ffffff,#0e1e73,,,,1968-humphrey.jpg
George Wallace,1968,Independent,Y,Y,TRUE,Y,#fe5f4a,,#1f2f63,,,,1968-wallace.jpg
Nelson Rockefeller,1968,Republican,Y,Y,TRUE,Y,,#ffffff,#000074,,,,1968-rockefeller.jpg
Richard Nixon,1968,Republican,Y,Y,TRUE,Y,#e10000,#ffffff,#00006d,,,,1968-nixon.jpg
Robert F. Kennedy,1968,Democratic,Y,Y,TRUE,Y,#eb0505,#ffffff,#01008c,,,,1968-kennedy.jpg
George W. Romney,1968,Republican,Y,Y,TRUE,Y,#db523f,#ffffff,#0e1e75,,,,1968-romney.jpg
Eugene J. McCarthy,1968,Republican,Y,Y,TRUE,Y,,#ffffff,#29166f,#7cb7d5,,,1968-mccarthy.jpg
Ronald Reagan,1968,Republican,Y,Y,TRUE,N,,#ffffff,#162247,#f2b43f,,,1968-reagan.jpg
Harold Stassen,1968,Republican,Y,Y,TRUE,N,,#ffffff,,#74c277,,,1968-stassen.jpg
George McGovern,1968,Democratic,Y,Y,TRUE,Y,#fd1b4d,,#31447e,,,,1968-mcgovern.jpg
Eldridge Cleaver,1968,Peace and Freedom,N,Y,FALSE,N,,,,#ed3008,#000000,,1968-cleaver.jpg
Fred Halstead,1968,Socialist Workers,Y,Y,TRUE,N,#ff404d,#ffffff,,#000000,,,1968-halstead.jpg
Harold Munn,1968,Prohibition,Y,Y,TRUE,Y,#f43e67,#ffffff,#3062a7,,,,1968-munn.jpg
Charlene Mitchell,1968,Communist,N,N,FALSE,N,#ff0801,#ffffff,,#000000,,,1968-mitchell.jpg
