,headline_no_site,site,time,country,bias
28971,San Antonio woman on trial for murder allegedly shot boyfriend for being a ‘jerk’,chron.com,2019-04-10 07:00:00+00:00,USA,0.16666666666666666
31562,Woman arrested at Laredo International Bridge suspected of smuggling 41 pounds of cocaine,chron.com,2019-08-02 07:00:00+00:00,USA,0.16666666666666666
28926,Black women celebrate their political power at second annual march,chron.com,2019-03-16 07:00:00+00:00,USA,0.16666666666666666
28958,Texas A&M women fall to Notre Dame in Sweet 16,chron.com,2019-03-30 07:00:00+00:00,USA,0.16666666666666666
368637,"Study shows Black women with natural hair less likely to get jobs, Twitter reacts",chron.com,2020-08-13 07:00:00+00:00,USA,0.16666666666666666
368617,NCSO releases name of woman fatally stabbed Friday,chron.com,2020-01-20 08:00:00+00:00,USA,0.16666666666666666
368686,"Man and woman found dead in apparent 'double suicide' in Galleria area, police say",chron.com,2020-05-05 07:00:00+00:00,USA,0.16666666666666666
368696,Woman killed in crash that injured three children in north Harris County,chron.com,2020-06-11 07:00:00+00:00,USA,0.16666666666666666
368815,Bellevue police identify woman killed in weekend shooting,chron.com,2021-06-01 17:57:47+00:00,USA,0.16666666666666666
368736,Mother eulogizes Southern California boy killed in road rage,chron.com,2021-06-05 21:57:16+00:00,USA,0.16666666666666666
368782,Serena says dealing with media scrutiny made her stronger,chron.com,2021-05-31 23:04:06+00:00,USA,0.16666666666666666
368818,"Navarro wins women's NCAA tennis title, Riffice claims men's",chron.com,2021-05-28 22:21:48+00:00,USA,0.16666666666666666
33094,Warrants reveal N.C. girl found dead may have been raped,cnn.com,2010-12-02 08:00:00+00:00,India,0.16666666666666666
33495,14 year old girl begins attempt to sail around the world,cnn.com,2010-08-04 07:00:00+00:00,India,0.16666666666666666
33462,Grace Jones latest artist unimpressed with Lady Gaga,cnn.com,2010-04-20 07:00:00+00:00,India,0.16666666666666666
33430,"DC handing out 500,000 female condoms to fight HIV",cnn.com,2010-03-14 08:00:00+00:00,India,0.16666666666666666
33234,Lady Gaga falls during Houston concert,cnn.com,2011-04-12 07:00:00+00:00,India,0.16666666666666666
33269,'Showbiz Tonight' Flashpoint: One on one with Lady Gaga,cnn.com,2011-05-31 07:00:00+00:00,India,0.16666666666666666
33281,Selena Gomez meets her crush   Shia LaBeouf,cnn.com,2011-06-29 07:00:00+00:00,India,0.16666666666666666
33021,Lady Gaga does drag for new cover art,cnn.com,2011-08-08 07:00:00+00:00,India,0.16666666666666666
33926,Lady Gaga visits Julian Assange in London,cnn.com,2012-10-09 07:00:00+00:00,India,0.16666666666666666
33909,Indian girl seeks justice after gang rape,cnn.com,2012-10-13 07:00:00+00:00,India,0.16666666666666666
33833,Nick and Aaron Carter's sister Leslie dies at 25,cnn.com,2012-02-01 08:00:00+00:00,India,0.16666666666666666
33073,Can women drive the future of the car industry?,cnn.com,2012-12-20 08:00:00+00:00,India,0.16666666666666666
33651,Photos: The bravest girl in the world,cnn.com,2013-10-11 07:00:00+00:00,India,0.16666666666666666
34482,Women pioneers in medicine,cnn.com,2013-05-10 07:00:00+00:00,India,0.16666666666666666
33399,The woman powering Japan's nuclear hopes post Fukushima,cnn.com,2013-02-05 08:00:00+00:00,India,0.16666666666666666
33426,Jessica Simpson can't get married because she keeps getting pregnant,cnn.com,2013-01-16 08:00:00+00:00,India,0.16666666666666666
33611,CNN’s Dana Bash Named to ELLE Magazine’s 10 Most Powerful Women in Washington,cnn.com,2014-03-19 07:00:00+00:00,India,0.16666666666666666
33780,The Women of 'SNL',cnn.com,2014-10-21 07:00:00+00:00,India,0.16666666666666666
34065,"Drew Barrymore's half sister died from drug overdose, coroner says",cnn.com,2014-08-26 07:00:00+00:00,India,0.16666666666666666
33784,$84 million Microsoft CEO: We pay women equally,cnn.com,2014-10-21 07:00:00+00:00,India,0.16666666666666666
34920,School bus drags little girl,cnn.com,2015-05-16 07:00:00+00:00,India,0.16666666666666666
34146,Stephanie Ready: NBA's first female full time analyst,cnn.com,2015-12-04 08:00:00+00:00,India,0.16666666666666666
34873,N.C. woman who spotted massacre suspect: God worked through me,cnn.com,2015-06-19 07:00:00+00:00,India,0.16666666666666666
34173,A Google Demo Day just for women,cnn.com,2015-12-10 08:00:00+00:00,India,0.16666666666666666
34631,Retired detective reunites with girl he saved years ago,cnn.com,2016-05-18 07:00:00+00:00,India,0.16666666666666666
35162,Japan's single mothers face poverty trap,cnn.com,2016-11-03 07:00:00+00:00,India,0.16666666666666666
35179,"Slowly, Path to Hiring of NFL's First Female Head Coach Is Taking Shape",cnn.com,2016-11-28 02:27:35+00:00,India,0.16666666666666666
34271,Mother of man accused of wanting to shoot Trump says son 'broken' in jail,cnn.com,2016-08-09 07:00:00+00:00,India,0.16666666666666666
34288,"For the first time ever, there will be a black Lady Liberty on a coin",cnn.com,2017-01-13 08:00:00+00:00,India,0.16666666666666666
35376,Brooke Baldwin: Speaking like this to women in 2017? No way,cnn.com,2017-09-18 07:00:00+00:00,India,0.16666666666666666
35449,Witness: We tried helping girl shot in head,cnn.com,2017-10-02 07:00:00+00:00,India,0.16666666666666666
34780,NYC mayor to 'Charging Bull' artist: 'Fearless Girl is staying put.',cnn.com,2017-04-13 07:00:00+00:00,India,0.16666666666666666
32185,Uber's Mideast rival is hiring women drivers in Saudi Arabia,cnn.com,2018-06-26 07:00:00+00:00,India,0.16666666666666666
32388,Airbnb adds its first female board member,cnn.com,2018-08-23 07:00:00+00:00,India,0.16666666666666666
32526,Only men can inherit the title of chief in Lesotho. One woman is trying to change that,cnn.com,2018-09-12 07:00:00+00:00,India,0.16666666666666666
32560,Girl dubbed 'Queen of Sweden' after drawing ancient sword from lake,cnn.com,2018-10-05 07:00:00+00:00,India,0.16666666666666666
31940,Black women would not rest until R. Kelly was investigated,cnn.com,2019-02-22 08:00:00+00:00,India,0.16666666666666666
32494,A Canadian woman who vanished while picking berries was found five days later,cnn.com,2019-07-29 07:00:00+00:00,India,0.16666666666666666
31925,Indian woman becomes first to climb male only mountain,cnn.com,2019-01-17 08:00:00+00:00,India,0.16666666666666666
32902,A Texas woman was legally declared dead while still alive,cnn.com,2019-11-11 08:00:00+00:00,India,0.16666666666666666
306866,Trump's latest remarks won't help him win over women voters,cnn.com,2020-10-15 07:00:00+00:00,India,0.16666666666666666
307053,Community brings holiday spirit to front door of Norfolk mother of seven battling stage 4 cancer,cnn.com,2020-12-18 08:00:00+00:00,India,0.16666666666666666
306482,What happens when women are empowered,cnn.com,2020-02-28 08:00:00+00:00,India,0.16666666666666666
306777,The Girl Scouts used to segregate Black and White girls. Now they have their first Black CEO,cnn.com,2020-08-19 07:00:00+00:00,India,0.16666666666666666
307061,Black women executives making history in the c suite offer career advice to those following in their footsteps,cnn.com,2021-02-22 08:00:00+00:00,India,0.16666666666666666
307216,The United Arab Emirates has announced its first female astronaut,cnn.com,2021-04-10 07:00:00+00:00,India,0.16666666666666666
307315,Bond denied for woman charged in murder of Norfolk teenager,cnn.com,2021-05-21 07:00:00+00:00,India,0.16666666666666666
307325,Stranger attacks Asian women with hammer in New York,cnn.com,2021-05-05 07:00:00+00:00,India,0.16666666666666666
40077,Lady Gaga's grandfather Joseph Germanotta dies aged 88,dailymail.co.uk,2010-09-25 07:00:00+00:00,India,0.16666666666666666
41338,Police arrest 'husband and father in law after Asian woman is found dead',dailymail.co.uk,2010-11-18 08:00:00+00:00,India,0.16666666666666666
39155,"Why Mad Men's women eat well and don't work out, by January Jones",dailymail.co.uk,2010-07-31 07:00:00+00:00,India,0.16666666666666666
40057,Why women fall for men who look like their father,dailymail.co.uk,2010-09-23 07:00:00+00:00,India,0.16666666666666666
41398,US Navy women share first gay kiss: Lesbian couple's homecoming kiss as ship returns,dailymail.co.uk,2011-12-21 08:00:00+00:00,India,0.16666666666666666
40178,Lisa Irwin missing: Baby's mother Deborah Bradley was 'blackout' drunk,dailymail.co.uk,2011-10-17 07:00:00+00:00,India,0.16666666666666666
36942,British tourist Helen Beard catches baby girl who fell from 4th floor hotel balcony,dailymail.co.uk,2011-04-21 07:00:00+00:00,India,0.16666666666666666
40180,Black to their ROOTS! Or how 40 something women are following a new celebrity trend to hide grey hairs,dailymail.co.uk,2011-10-11 07:00:00+00:00,India,0.16666666666666666
41501,Children suffer from significantly higher blood pressure when they have a younger brother or sister,dailymail.co.uk,2012-11-14 08:00:00+00:00,India,0.16666666666666666
39334,Wikileaks: Emails reveal Assad mystery woman at top UK university,dailymail.co.uk,2012-07-07 07:00:00+00:00,India,0.16666666666666666
35857,"Women need a year to recover from childbirth, study finds",dailymail.co.uk,2012-02-17 08:00:00+00:00,India,0.16666666666666666
35934,Why DO we women make such a meal of dinner parties?,dailymail.co.uk,2012-01-25 08:00:00+00:00,India,0.16666666666666666
38244,Meet the vampire obsessed mother of two who drinks half a gallon of LIVE HUMAN BLOOD a month,dailymail.co.uk,2013-06-10 07:00:00+00:00,India,0.16666666666666666
37123,"Leila Fowler stabbing: Girl, 8, killed by intruder in her Valley Springs home",dailymail.co.uk,2013-04-28 07:00:00+00:00,India,0.16666666666666666
36041,Malala Yousafzai shooting: Pakistani girl shot by Taliban for inspiring girls to get an education is discharge,dailymail.co.uk,2013-01-04 08:00:00+00:00,India,0.16666666666666666
41557,Paranoid woman Debbi Wood suffering from Othello Syndrome forces fiancé to take lie detector test,dailymail.co.uk,2013-11-14 08:00:00+00:00,India,0.16666666666666666
39484,BRITISH former child bride sold to Yemen tells of abuse by father and husband,dailymail.co.uk,2014-07-22 07:00:00+00:00,India,0.16666666666666666
38257,How we've ballooned in 60 years since the women of the 1950s,dailymail.co.uk,2014-06-11 07:00:00+00:00,India,0.16666666666666666
38320,Police search Minnesota family home of 13 year old Amy Sue Pagnac who went missing 25 years ago,dailymail.co.uk,2014-05-19 07:00:00+00:00,India,0.16666666666666666
39552,Female secret service agents hate being assigned to Joe Biden because he loves SKINNY DIPPING,dailymail.co.uk,2014-08-01 07:00:00+00:00,India,0.16666666666666666
41817,Afghan woman is stoned to death for alleged adultery in video,dailymail.co.uk,2015-11-03 08:00:00+00:00,India,0.16666666666666666
41780,Florida police found images of unconscious women at Darryl Patterson's home,dailymail.co.uk,2015-12-08 08:00:00+00:00,India,0.16666666666666666
40621,ISIS jihadists shave their BEARDS and dress as women to flee Syria,dailymail.co.uk,2015-10-19 07:00:00+00:00,India,0.16666666666666666
40598,Detroit woman Kimberly Pappas sentenced to prison for hiding newborn’s corpse,dailymail.co.uk,2015-10-26 07:00:00+00:00,India,0.16666666666666666
37416,Ladies rack up 30 more hours chatting to friends and family each year than men,dailymail.co.uk,2016-04-05 07:00:00+00:00,India,0.16666666666666666
42630,Woman releases tub of live crickets and worms on New York subway,dailymail.co.uk,2016-08-26 07:00:00+00:00,India,0.16666666666666666
38460,Rise in obesity is blamed on women going out to work,dailymail.co.uk,2016-06-27 07:00:00+00:00,India,0.16666666666666666
36339,The 'Black Mambas' are first all female anti poaching unit protecting wildlife,dailymail.co.uk,2016-02-22 08:00:00+00:00,India,0.16666666666666666
36438,Transgender woman born a boy now models bridalwear,dailymail.co.uk,2017-02-15 08:00:00+00:00,India,0.16666666666666666
36448,Satirical PSA follows woman pregnant for five years,dailymail.co.uk,2017-02-05 08:00:00+00:00,India,0.16666666666666666
38603,Julia Roberts re creates Pretty Woman shopping scene,dailymail.co.uk,2017-06-15 07:00:00+00:00,India,0.16666666666666666
37537,Mother died 'after becoming addicted to painkillers',dailymail.co.uk,2017-04-06 07:00:00+00:00,India,0.16666666666666666
40867,Linda Dwire is arrested for harassing women for speaking Spanish in a Colorado grocery store,dailymail.co.uk,2018-10-04 07:00:00+00:00,India,0.16666666666666666
42135,Revealed the bewildering language of modern lonely hearts and the women who know what it all means,dailymail.co.uk,2018-12-15 08:00:00+00:00,India,0.16666666666666666
36527,Tupac rape accuser recalls the night rapper assaulted her,dailymail.co.uk,2018-01-30 08:00:00+00:00,India,0.16666666666666666
39688,Mexican grandfather beaten with a brick by a mother and four men in LA,dailymail.co.uk,2018-07-09 07:00:00+00:00,India,0.16666666666666666
38835,'Sarah's asleep': Heartbreaking words Jeremy Hunt uttered when he found his sister dead,dailymail.co.uk,2019-06-27 07:00:00+00:00,India,0.16666666666666666
41043,Woman jailed for 'pulling a gun in self defense' and forced to give birth alone in shackles,dailymail.co.uk,2019-10-24 07:00:00+00:00,India,0.16666666666666666
42213,Tina Turner says she is 'happy to be an 80 year old woman' as she celebrates milestone birthday,dailymail.co.uk,2019-11-26 08:00:00+00:00,India,0.16666666666666666
36647,Tracey Cox reveals what women secretly want from their sex life,dailymail.co.uk,2019-02-13 08:00:00+00:00,India,0.16666666666666666
307636,Black plus size trans woman features on Calvin Klein billboard,dailymail.co.uk,2020-06-29 07:00:00+00:00,India,0.16666666666666666
307875,"Millionaire socialite, 44, says her toyboy's father offered him money to dump her",dailymail.co.uk,2020-11-08 08:00:00+00:00,India,0.16666666666666666
307654,MTV VMAs 2020: Lady Gaga leads the night with five moonpersons including Tricon Award,dailymail.co.uk,2020-08-30 07:00:00+00:00,India,0.16666666666666666
307582,Iran rocked by 'honour killing' as man kills daughter with iron bar,dailymail.co.uk,2020-06-18 07:00:00+00:00,India,0.16666666666666666
308156,"Australian men terrorised, bashed and raped by their female partners tell their harrowing stories",dailymail.co.uk,2021-05-30 03:47:49+00:00,India,0.16666666666666666
308046,"Woman, 90, loses £23MILLION to phone scammers in Hong Kong who claimed her identity was stolen",dailymail.co.uk,2021-04-21 07:00:00+00:00,India,0.16666666666666666
307954,Woman flees arranged marriage and forms polyamorous throuple with married friends,dailymail.co.uk,2021-01-05 08:00:00+00:00,India,0.16666666666666666
308144,Bargo woman trapped under SUV after vehicle crashes into Jack Davis Place home,dailymail.co.uk,2021-06-05 22:13:56+00:00,India,0.16666666666666666
43878,Singer Sally Carr on her battle to cope after tragic death of son,dailyrecord.co.uk,2010-01-24 08:00:00+00:00,UK,0.16666666666666666
43911,Sugababe singer Jade Ewen on her blindness torment and death threats,dailyrecord.co.uk,2010-03-20 07:00:00+00:00,UK,0.16666666666666666
45868,Female diver died after having panic attack in just 6ft of water,dailyrecord.co.uk,2010-08-18 07:00:00+00:00,UK,0.16666666666666666
43949,Woman mauled to death by Belgian Mastiff,dailyrecord.co.uk,2010-12-24 08:00:00+00:00,UK,0.16666666666666666
43896,Gordon Ramsay's right hand woman lifts the lid on sexism and success in top kitchens,dailyrecord.co.uk,2011-06-12 07:00:00+00:00,UK,0.16666666666666666
43969,Sharleen Spiteri on why she won't be giving up day job.. despite film role,dailyrecord.co.uk,2011-03-26 07:00:00+00:00,UK,0.16666666666666666
43970,Kylie Minogue dazzles as she brings Aphrodite tour to Glasgow's SECC,dailyrecord.co.uk,2011-03-29 07:00:00+00:00,UK,0.16666666666666666
46253,"Don't call me a Swedish version of Lady Gaga just because I'm quirky, says Lykke Li",dailyrecord.co.uk,2011-02-11 08:00:00+00:00,UK,0.16666666666666666
43993,"Drink drive woman who was stopped with girl, 6, in car is jailed and has car confiscated",dailyrecord.co.uk,2012-02-21 08:00:00+00:00,UK,0.16666666666666666
43980,Scotland's first female cage fighter set for professional debut at Kelvin Hall show,dailyrecord.co.uk,2012-02-20 08:00:00+00:00,UK,0.16666666666666666
43991,Woman who accused footballer David Goodwillie of rape passes lie detector test,dailyrecord.co.uk,2012-01-29 08:00:00+00:00,UK,0.16666666666666666
44580,Police name woman and two boys killed in horrific motorway crash,dailyrecord.co.uk,2012-12-26 08:00:00+00:00,UK,0.16666666666666666
44310,Revealed: Family's outrage as foster mother who abused them for more than a decade escapes jail term,dailyrecord.co.uk,2013-07-03 07:00:00+00:00,UK,0.16666666666666666
44127,Elderly woman who died in crash on Aberdeenshire road is named,dailyrecord.co.uk,2013-12-24 08:00:00+00:00,UK,0.16666666666666666
44409,Scots mums reveal how they juggle child care with work as Mary Berry tells of guilt at pursuing career,dailyrecord.co.uk,2013-01-04 08:00:00+00:00,UK,0.16666666666666666
44413,PIP breast implant women left in limbo as Scotland's NHS refuse to fund replacements,dailyrecord.co.uk,2013-01-13 08:00:00+00:00,UK,0.16666666666666666
44451,"Dating guru advises two women on how to find love in world of internet match ups, blind dates and time wasters",dailyrecord.co.uk,2014-01-17 08:00:00+00:00,UK,0.16666666666666666
44028,Gael Power: Scots girl band Na Seudan Ùr are taking the traditional music scene by storm,dailyrecord.co.uk,2014-10-07 07:00:00+00:00,UK,0.16666666666666666
44731,10 year old girl pays moving tribute to soldier dad who was killed in action in Afghanistan,dailyrecord.co.uk,2014-11-10 08:00:00+00:00,UK,0.16666666666666666
44039,Kilmarnock girl goes for the chop to help Crosshouse baby unit and cancer sufferers,dailyrecord.co.uk,2014-09-23 07:00:00+00:00,UK,0.16666666666666666
44514,"Boost for female entrepreneurs in Blairgowrie, Rattray and Alyth",dailyrecord.co.uk,2015-01-09 08:00:00+00:00,UK,0.16666666666666666
45010,Popular Monklands lollipop lady retires after 16 years' service to school pupils,dailyrecord.co.uk,2015-11-03 08:00:00+00:00,UK,0.16666666666666666
44509,Kilmaurs women who ate fast food every night shows off trim new figure following spell at local fitness farm,dailyrecord.co.uk,2015-01-13 08:00:00+00:00,UK,0.16666666666666666
45007,Mother of Becky Watt's killer Nathan Matthew's admits 'I still love my son and will visit him in prison',dailyrecord.co.uk,2015-11-12 08:00:00+00:00,UK,0.16666666666666666
43291,Man raped two women and sexually assaulted another while they slept after attending parties,dailyrecord.co.uk,2016-08-05 07:00:00+00:00,UK,0.16666666666666666
43340,"Girl, 14, says she's a psychopath after 'slitting neck of brother's girlfriend'",dailyrecord.co.uk,2016-07-30 07:00:00+00:00,UK,0.16666666666666666
45325,Shayne Ward has 'hidden' sister just like his Coronation Street character Aidan Connor,dailyrecord.co.uk,2016-01-09 08:00:00+00:00,UK,0.16666666666666666
45570,The terrifying Facebook post that will make women think twice about walking home at night,dailyrecord.co.uk,2016-12-12 08:00:00+00:00,UK,0.16666666666666666
46148,Three women and a man arrested as cops probe loyalist's murder amidst bitter UDA feud,dailyrecord.co.uk,2017-10-03 07:00:00+00:00,UK,0.16666666666666666
45646,Four women injured in Castlemilk street brawl close to scene of fatal gang shooting,dailyrecord.co.uk,2017-07-12 07:00:00+00:00,UK,0.16666666666666666
45388,Loch Lomond woman hitting the right notes in dual classical music and boxing career,dailyrecord.co.uk,2017-12-01 08:00:00+00:00,UK,0.16666666666666666
45263,Helensburgh lollipop lady scoops medal in Queen's Birthday Honours,dailyrecord.co.uk,2017-06-21 07:00:00+00:00,UK,0.16666666666666666
43534,Man hunt launched after woman sexually assaulted in Airdrie nightclub toilets,dailyrecord.co.uk,2018-10-09 07:00:00+00:00,UK,0.16666666666666666
45986,"Woman who mowed down three ""feral"" teenagers after milkshake incident at McDonalds is spared jail",dailyrecord.co.uk,2018-08-30 07:00:00+00:00,UK,0.16666666666666666
42938,Trusted florist helped herself to cash and stock for six years,dailyrecord.co.uk,2018-01-18 08:00:00+00:00,UK,0.16666666666666666
43723,Polyamorous woman reveals what life is like living with two husbands,dailyrecord.co.uk,2018-11-19 08:00:00+00:00,UK,0.16666666666666666
43199,Scots woman orders Morrisons' 10 item big breakfast bap   but left fuming at what arrived,dailyrecord.co.uk,2019-05-31 07:00:00+00:00,UK,0.16666666666666666
43613,Ladies sparkling vintage tea raises thousands for two charities,dailyrecord.co.uk,2019-09-11 07:00:00+00:00,UK,0.16666666666666666
43779,Kilmarnock woman shaken and terrified after being sexually assaulted by friend,dailyrecord.co.uk,2019-12-04 08:00:00+00:00,UK,0.16666666666666666
43602,Elderly women robbed by crooks posing as workmen in Kilmarnock,dailyrecord.co.uk,2019-10-10 07:00:00+00:00,UK,0.16666666666666666
308352,WATCH: Wishaw woman goes viral with brilliant lockdown version of Mariah Carey hit,dailyrecord.co.uk,2020-04-17 07:00:00+00:00,UK,0.16666666666666666
308547,Elderly woman 'wants to die' after spending months in care home without visitors,dailyrecord.co.uk,2020-09-07 07:00:00+00:00,UK,0.16666666666666666
308681,St Mirren Women appoint new captain as coach slams lockdown that's costing club players,dailyrecord.co.uk,2020-11-19 08:00:00+00:00,UK,0.16666666666666666
308463,Boris Johnson's sister Rachel flouts lockdown rules to stay at second home,dailyrecord.co.uk,2020-05-31 07:00:00+00:00,UK,0.16666666666666666
309044,Heartbroken sister still asks for brother at Scots care home after covid killed him,dailyrecord.co.uk,2021-05-30 03:30:00+00:00,UK,0.16666666666666666
309070,Woman who stabbed friend 16 times to remain hospitalised,dailyrecord.co.uk,2021-05-18 07:00:00+00:00,UK,0.16666666666666666
309130,Man arrested after women followed and schoolgirl approached in Scots town,dailyrecord.co.uk,2021-05-14 07:00:00+00:00,UK,0.16666666666666666
308992,Sister of man knifed to death threatened to torch home,dailyrecord.co.uk,2021-04-08 07:00:00+00:00,UK,0.16666666666666666
48893,'Bigg Boss 7': Tanisha's family not trying to get her out of the show,deccanchronicle.com,2013-12-08 08:00:00+00:00,India,0.16666666666666666
48884,Toll free no soon for female friendly taxis,deccanchronicle.com,2013-11-22 08:00:00+00:00,India,0.16666666666666666
48888,Men behind the women leaders,deccanchronicle.com,2013-12-04 08:00:00+00:00,India,0.16666666666666666
48882,56 killed for giving birth to girl child in Pakistan,deccanchronicle.com,2013-11-27 08:00:00+00:00,India,0.16666666666666666
48910,Girl sits on dharna for cancelled MBBS seat,deccanchronicle.com,2014-01-07 08:00:00+00:00,India,0.16666666666666666
48986,"Monica converted to Islam, changed her name to M.G. Raheema",deccanchronicle.com,2014-06-01 07:00:00+00:00,India,0.16666666666666666
49026,Every woman in Gujarat feeling like Chief Minister: Anandiben Patel,deccanchronicle.com,2014-05-22 07:00:00+00:00,India,0.16666666666666666
48969,Poonam Dhillon celebrates her 52nd birthday on the sets,deccanchronicle.com,2014-04-18 07:00:00+00:00,India,0.16666666666666666
47507,Read: The diary entry of the woman who bullied Edward Snowden,deccanchronicle.com,2015-07-03 07:00:00+00:00,India,0.16666666666666666
49385,Schemes like Jan Dhan will benefit women most: PM Narendra Modi,deccanchronicle.com,2015-03-09 07:00:00+00:00,India,0.16666666666666666
49483,Bengaluru BPO staffer’s rape: Two arrested drivers threatened to kill her,deccanchronicle.com,2015-10-07 07:00:00+00:00,India,0.16666666666666666
49383,Andhra Pradesh: 7 year old child gets branded by mother with hot iron rod,deccanchronicle.com,2015-04-01 07:00:00+00:00,India,0.16666666666666666
46363,Adhuna Bhabani already over her divorce with Farhan Akhtar?,deccanchronicle.com,2016-02-08 08:00:00+00:00,India,0.16666666666666666
48015,Watch: ‘Journalist’ Akshay Kumar gets Manali ladies blushing,deccanchronicle.com,2016-10-09 07:00:00+00:00,India,0.16666666666666666
46294,"Women MPs talk about sarees, parlours: Supriya Sule",deccanchronicle.com,2016-01-09 08:00:00+00:00,India,0.16666666666666666
46721,Meet the girl who bleeds from eyes and ears,deccanchronicle.com,2016-03-10 08:00:00+00:00,India,0.16666666666666666
48587,Women entrepreneurs are increasing in Visakhapatnam,deccanchronicle.com,2017-11-30 08:00:00+00:00,India,0.16666666666666666
48110,Young girl may have found King Arthur's legendary Excalibur sword,deccanchronicle.com,2017-09-04 07:00:00+00:00,India,0.16666666666666666
46873,Deepika Padukone bonds with her best pal,deccanchronicle.com,2017-04-02 07:00:00+00:00,India,0.16666666666666666
47692,Here's when women and men have the highest sex drive in their lives,deccanchronicle.com,2017-08-23 07:00:00+00:00,India,0.16666666666666666
48231,Hyderabad: Woman held for marriage fraud,deccanchronicle.com,2018-10-31 07:00:00+00:00,India,0.16666666666666666
46925,Mahesh Babu’s mother is trending!,deccanchronicle.com,2018-04-21 07:00:00+00:00,India,0.16666666666666666
48730,Divyansha Kaushik set for her debut,deccanchronicle.com,2018-12-22 08:00:00+00:00,India,0.16666666666666666
47302,Kerala yet to utilise its women power: Muralee Thummarukudy,deccanchronicle.com,2018-05-12 07:00:00+00:00,India,0.16666666666666666
48828,Sudden death of college girl in Erode causes flutter,deccanchronicle.com,2019-11-22 08:00:00+00:00,India,0.16666666666666666
47030,Optisafe launches a woman distress companion smart device My Hero,deccanchronicle.com,2019-03-02 08:00:00+00:00,India,0.16666666666666666
48848,Yami Gautam finds inspiration in Sridevi for her character in 'Bala',deccanchronicle.com,2019-11-13 08:00:00+00:00,India,0.16666666666666666
47048,"Man came to take gas bill, flashes in front of 22 year old woman",deccanchronicle.com,2019-03-05 08:00:00+00:00,India,0.16666666666666666
360617,Government issues order for permanent commission of women in Indian Army,deccanchronicle.com,2020-07-23 07:00:00+00:00,India,0.16666666666666666
360570,"13 year old Telangana tribal girl set on fire for resisting rape, dies in hospital",deccanchronicle.com,2020-10-16 07:00:00+00:00,India,0.16666666666666666
360583,"Milkman, mother in law bicker over who gave Covid 19 to the other",deccanchronicle.com,2020-05-11 07:00:00+00:00,India,0.16666666666666666
360620,"If this 96 year old woman could beat COVID 19, so could you",deccanchronicle.com,2020-07-09 07:00:00+00:00,India,0.16666666666666666
360771,CRPF considering inducting women in CoBRA commando battalions,deccanchronicle.com,2021-01-21 08:00:00+00:00,India,0.16666666666666666
360755,Telangana starts Stree Nidhi for women empowerment,deccanchronicle.com,2021-02-01 08:00:00+00:00,India,0.16666666666666666
360751,"From stage to screen, Sandhya Rao spreads her wings",deccanchronicle.com,2021-02-10 08:00:00+00:00,India,0.16666666666666666
360754,Deepthi Ganesh redefines fashion with her idiosyncratic bridal and designer sarees,deccanchronicle.com,2021-02-19 08:00:00+00:00,India,0.16666666666666666
50981,"Lady GaGa, Pixie Lott set world records",digitalspy.com,2010-09-16 07:00:00+00:00,UK,0.16666666666666666
50706,Whoopi Goldberg's mother suffers stroke,digitalspy.com,2010-08-27 07:00:00+00:00,UK,0.16666666666666666
51147,Harry Styles 'caught kissing girl backstage',digitalspy.com,2010-11-13 08:00:00+00:00,UK,0.16666666666666666
51148,Ramsay writes open letter to mother in law,digitalspy.com,2010-11-09 08:00:00+00:00,UK,0.16666666666666666
51461,Lady GaGa: 'My dad hired stripper to teach me piano',digitalspy.com,2011-07-22 07:00:00+00:00,UK,0.16666666666666666
50967,Recap   'Gossip Girl': 'It Girl Happened One Night',digitalspy.com,2011-02-15 08:00:00+00:00,UK,0.16666666666666666
50551,'The Girl with the Dragon Tattoo' review,digitalspy.com,2011-12-13 08:00:00+00:00,UK,0.16666666666666666
51463,"Thing, She Hulk, Beast 'destroy' in new Marvel teaser",digitalspy.com,2011-08-23 07:00:00+00:00,UK,0.16666666666666666
50783,Woman on 'This Morning' has two vaginas   video,digitalspy.com,2012-01-12 08:00:00+00:00,UK,0.16666666666666666
50739,Lindsay Lohan's half sister revealed on 'Trisha Goddard Show'   video,digitalspy.com,2012-11-16 08:00:00+00:00,UK,0.16666666666666666
50733,Johansson: 'Curvy women are sexualised',digitalspy.com,2012-12-29 08:00:00+00:00,UK,0.16666666666666666
50742,Lady GaGa plays football in Brazil,digitalspy.com,2012-11-09 08:00:00+00:00,UK,0.16666666666666666
50792,Kaley Cuoco's sister stars on The Voice,digitalspy.com,2013-09-24 07:00:00+00:00,UK,0.16666666666666666
50695,Bachelor Desiree brother: She blames me,digitalspy.com,2013-02-22 08:00:00+00:00,UK,0.16666666666666666
50800,Lady Gaga reveals 'ARTPOP' tracklist,digitalspy.com,2013-10-10 07:00:00+00:00,UK,0.16666666666666666
50752,Superman vs Batman casts Wonder Woman,digitalspy.com,2013-12-04 08:00:00+00:00,UK,0.16666666666666666
51441,"Re Viewed: On Her Majesty's Secret Service, the forgotten Bond classic",digitalspy.com,2014-02-23 08:00:00+00:00,UK,0.16666666666666666
50526,Zoe Lister Jones to guest star in New Girl,digitalspy.com,2014-11-10 08:00:00+00:00,UK,0.16666666666666666
50659,Single Ladies cancelled by VH1,digitalspy.com,2014-03-01 08:00:00+00:00,UK,0.16666666666666666
