"schoolName","state","sanction","offense"
"HICKSVILLE HIGH SCHOOL","NY","in school suspension  ISS","Any"
"RUSK H S","TX","in school suspension  ISS","Any"
"LA FERIA H S","TX","in school suspension  ISS","Any"
"BARNES COUNTY NORTH HIGH SCHOOL","ND","in school suspension  ISS","Any"
"TEAGUE H S","TX","in school suspension  ISS","Any"
"ARCADIA HIGH SCHOOL","NY","in school suspension  ISS","Any"
"RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL","NY","in school suspension  ISS","Any"
"ANAMOSA HIGH SCHOOL","IA","in school suspension  ISS","3rd"
"RIO RANCHO HIGH","NM","in school suspension  ISS","3rd"
"BROOKFIELD HIGH","MO","in school suspension  ISS","1st"
"BROOKFIELD HIGH","MO","in school suspension  ISS","2nd"
"BROOKFIELD HIGH","MO","in school suspension  ISS","3rd"
"BROOKFIELD HIGH","MO","in school suspension  ISS","4th"
"BEGGS HS","OK","in school suspension  ISS","3rd"
"BEGGS HS","OK","in school suspension  ISS","4th"
"BELTON H S","TX","in school suspension  ISS","1st"
"MILTON HIGH","WI","in school suspension  ISS","Any"
"SOUTHERN COLUMBIA HS","PA","in school suspension  ISS","1st"
"SOUTHERN COLUMBIA HS","PA","in school suspension  ISS","2nd"
"PORT JERVIS SENIOR HIGH SCHOOL","NY","in school suspension  ISS","Any"
"ELKO HIGH SCHOOL","NV","in school suspension  ISS","2nd"
"DEPEW HIGH SCHOOL","NY","in school suspension  ISS","Any"
"PINE BUSH SENIOR HIGH SCHOOL","NY","in school suspension  ISS","Any"
"FRUITVALE H S","TX","in school suspension  ISS","Any"
"TATUM H S","TX","in school suspension  ISS","Any"
"ELGIN HS","OK","in school suspension  ISS","4th"
"BERRYVILLE HIGH SCHOOL","AR","in school suspension  ISS","2nd"
"BERRYVILLE HIGH SCHOOL","AR","in school suspension  ISS","3rd"
"EAST LAURENS HIGH SCHOOL","GA","in school suspension  ISS","2nd"
"HENRIETTA H S","TX","in school suspension  ISS","Any"
"CARROLLTON HIGH SCHOOL","GA","in school suspension  ISS","3rd"
"HORN H S","TX","in school suspension  ISS","Any"
"BANKS COUNTY HIGH SCHOOL","GA","in school suspension  ISS","Any"
"FREEPORT AREA SHS","PA","in school suspension  ISS","3rd"
"LEVERETTS CHAPEL H S","TX","in school suspension  ISS","Any"
"WEST STOKES HIGH","NC","in school suspension  ISS","3rd"
"MIDLAND H S","TX","in school suspension  ISS","Any"
"PLEASANT GROVE H S","TX","in school suspension  ISS","Any"
"BASTROP H S","TX","in school suspension  ISS","Any"
"BORGER H S","TX","in school suspension  ISS","Any"
"COLUMBIA HIGH SCHOOL","NY","in school suspension  ISS","Any"
"HALLSVILLE H S","TX","in school suspension  ISS","Any"
"LAUREL HIGH SCHOOL","MT","in school suspension  ISS","2nd"
"LAUREL HIGH SCHOOL","MT","in school suspension  ISS","3rd"
"NELSON COUNTY HIGH","VA","in school suspension  ISS","Any"
"MORENCI HIGH SCHOOL","AZ","in school suspension  ISS","1st"
"MORENCI HIGH SCHOOL","AZ","in school suspension  ISS","2nd"
"WEST SENECA EAST SENIOR HIGH SCHOOL","NY","in school suspension  ISS","Any"
"LANDER VALLEY HIGH SCHOOL","WY","in school suspension  ISS","3rd"
"SKIATOOK HS","OK","in school suspension  ISS","Any"
"IRAAN H S","TX","in school suspension  ISS","Any"
"SPENCERPORT HIGH SCHOOL","NY","in school suspension  ISS","Any"
"PIEDMONT HS","OK","in school suspension  ISS","3rd"
"GRAND LEDGE HIGH SCHOOL","MI","in school suspension  ISS","Any"
"TARKINGTON H S","TX","in school suspension  ISS","Any"
"SOUTH GLENS FALLS SENIOR HIGH SCHOOL","NY","in school suspension  ISS","Any"
"LURAY HIGH","VA","in school suspension  ISS","Any"
"QUANAH H S","TX","in school suspension  ISS","Any"
"GRANDVIEW SR. HIGH","MO","in school suspension  ISS","Any"
"ROGERS H S","TX","in school suspension  ISS","Any"
"CELINA H S","TX","in school suspension  ISS","Any"
"QUEEN CITY H S","TX","in school suspension  ISS","Any"
"ATASCADERO HIGH","CA","in school suspension  ISS","Any"
"GOSHEN CENTRAL HIGH SCHOOL","NY","in school suspension  ISS","Any"
"ALAMO HEIGHTS H S","TX","in school suspension  ISS","Any"
"SINTON H S","TX","in school suspension  ISS","Any"
"INDEPENDENCE HIGH SCHOOL","MS","in school suspension  ISS","1st"
"INDEPENDENCE HIGH SCHOOL","MS","in school suspension  ISS","2nd"
"THUNDER RIDGE HIGH SCHOOL","KS","in school suspension  ISS","3rd"
"THUNDER RIDGE HIGH SCHOOL","KS","in school suspension  ISS","4th"
"WHARTON H S","TX","in school suspension  ISS","Any"
"WEST HEMPSTEAD HIGH SCHOOL","NY","in school suspension  ISS","Any"
"OLTON H S","TX","in school suspension  ISS","Any"
"CEDAR GROVE-BELGIUM HIGH","WI","in school suspension  ISS","Any"
"GLEN ROSE H S","TX","in school suspension  ISS","Any"
"MONROE-WOODBURY HIGH SCHOOL","NY","in school suspension  ISS","Any"
"PERRY CENTRAL HIGH SCHOOL","MS","in school suspension  ISS","Any"
"LEHIGH SENIOR HIGH SCHOOL","FL","in school suspension  ISS","Any"
"CLEARWATER HIGH","MO","in school suspension  ISS","Any"
"ALVARADO H S","TX","in school suspension  ISS","Any"
"PLAINWELL HIGH SCHOOL","MI","in school suspension  ISS","Any"
"CIMARRON HS","OK","in school suspension  ISS","Any"
"HAMILTON HIGH SCHOOL","AZ","in school suspension  ISS","Any"
"PALACIOS H S","TX","in school suspension  ISS","Any"
"LYONS SENIOR HIGH SCHOOL","NY","in school suspension  ISS","Any"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","in school suspension  ISS","5th"
"TEXAS H S","TX","in school suspension  ISS","3rd"
"TEXAS H S","TX","in school suspension  ISS","4th"
"TEXAS H S","TX","in school suspension  ISS","5th"
"ONTEORA HIGH SCHOOL","NY","in school suspension  ISS","1st"
"TEMPLE H S","TX","in school suspension  ISS","Any"
"WHITE RIVER HIGH SCHOOL","WA","in school suspension  ISS","Any"
"HUNTINGTON HIGH SCHOOL","NY","in school suspension  ISS","1st"
"SOCIAL CIRCLE HIGH SCHOOL","GA","in school suspension  ISS","2nd"
"CHIRENO H S","TX","in school suspension  ISS","Any"
"NETTLETON HIGH SCHOOL","MS","in school suspension  ISS","Any"
"SALLISAW HS","OK","in school suspension  ISS","Any"
"ASHER HS","OK","in school suspension  ISS","Any"
"ASSETS","TX","in school suspension  ISS","Any"
"BURKBURNETT H S","TX","in school suspension  ISS","Any"
"CALIFORNIA HIGH","MO","in school suspension  ISS","1st"
"CALIFORNIA HIGH","MO","in school suspension  ISS","2nd"
"CALIFORNIA HIGH","MO","in school suspension  ISS","1st"
"CALIFORNIA HIGH","MO","in school suspension  ISS","2nd"
"SWEETWATER H S","TX","in school suspension  ISS","2nd"
"QUARTZ HILL HIGH","CA","in school suspension  ISS","4th"
"PONCA CITY HS","OK","in school suspension  ISS","3rd"
"HILTON HIGH SCHOOL","NY","in school suspension  ISS","Any"
"CONNETQUOT HIGH SCHOOL","NY","in school suspension  ISS","Any"
"RONDOUT VALLEY HIGH SCHOOL","NY","in school suspension  ISS","Any"
"MOUNT PLEASANT HIGH","NC","in school suspension  ISS","Any"
"NORTHWEST CABARRUS HIGH","NC","in school suspension  ISS","5th"
"NICOLET HIGH","WI","in school suspension  ISS","Any"
"HOLLAND PATENT CENTRAL HIGH SCHOOL","NY","in school suspension  ISS","Any"
"DICKINSON H S","TX","in school suspension  ISS","Any"
"JENKS HS","OK","in school suspension  ISS","2nd"
"CHARLESTON HIGH","MO","in school suspension  ISS","3rd"
"CHARLESTON HIGH","MO","in school suspension  ISS","4th"
"ANACORTES HIGH SCHOOL","WA","in school suspension  ISS","Any"
"MAHOPAC HIGH SCHOOL","NY","in school suspension  ISS","Any"
"SALINA HS","OK","in school suspension  ISS","2nd"
"HOLCOMB HIGH","KS","in school suspension  ISS","Any"
"RED HOOK SENIOR HIGH SCHOOL","NY","in school suspension  ISS","Any"
"WEST SENECA WEST SENIOR HIGH SCHOOL","NY","in school suspension  ISS","Any"
"LOOKEBA-SICKLES HS","OK","in school suspension  ISS","2nd"
"MOHONASEN SENIOR HIGH SCHOOL","NY","parents called","Any"
"ARCADIA HIGH SCHOOL","NY","parents called","Any"
"NORTHGLENN HIGH SCHOOL","CO","parents called","2nd"
"RIO RANCHO HIGH","NM","parents called","1st"
"TACONIC HIGH","MA","parents called","Any"
"BROOKFIELD HIGH","MO","parents called","1st"
"BROOKFIELD HIGH","MO","parents called","2nd"
"BROOKFIELD HIGH","MO","parents called","3rd"
"BROOKFIELD HIGH","MO","parents called","4th"
"LATHROP HIGH SCHOOL","AK","parents called","1st"
"ELKO HIGH SCHOOL","NV","parents called","1st"
"ELKO HIGH SCHOOL","NV","parents called","2nd"
"ELKO HIGH SCHOOL","NV","parents called","3rd"
"SIMSBURY HIGH SCHOOL","CT","parents called","Any"
"NORTHBRIDGE HIGH","MA","parents called","Any"
"BUTLER HIGH SCHOOL","OH","parents called","Any"
"MOUNDS HS","OK","parents called","Any"
"ELGIN HS","OK","parents called","1st"
"ELGIN HS","OK","parents called","2nd"
"ELGIN HS","OK","parents called","3rd"
"RAINIER SENIOR HIGH SCHOOL","WA","parents called","1st"
"WEATHERFORD H S","TX","parents called","Any"
"FREEPORT AREA SHS","PA","parents called","1st"
"FREEPORT AREA SHS","PA","parents called","2nd"
"WEST STOKES HIGH","NC","parents called","1st"
"WEST STOKES HIGH","NC","parents called","2nd"
"WEST STOKES HIGH","NC","parents called","3rd"
"NANTUCKET HIGH","MA","parents called","1st"
"NANTUCKET HIGH","MA","parents called","2nd"
"BASTROP H S","TX","parents called","Any"
"TGU-GRANVILLE HIGH SCHOOL","ND","parents called","Any"
"MARINETTE HIGH","WI","parents called","1st"
"SYMMES VALLEY HIGH SCHOOL","OH","parents called","3rd"
"LAINGSBURG HIGH SCHOOL","MI","parents called","Any"
"DOVER HS","OK","parents called","Any"
"SCOTIA-GLENVILLE SENIOR HIGH SCHOOL","NY","parents called","Any"
"PLYMOUTH-WHITEMARSH SHS","PA","parents called","Any"
"THOMAS JEFFERSON HIGH SCHOOL","CO","parents called","Any"
"NELSON COUNTY HIGH","VA","parents called","Any"
"BELLPORT SENIOR HIGH SCHOOL","NY","parents called","Any"
"PITTSFIELD HIGH SCHOOL","NH","parents called","Any"
"KENYON-WANAMINGO SENIOR HIGH","MN","parents called","Any"
"GRAND LEDGE HIGH SCHOOL","MI","parents called","Any"
"ATASCADERO HIGH","CA","parents called","Any"
"LOMPOC HIGH","CA","parents called","Any"
"BLUE RIDGE H S","TX","parents called","Any"
"WEST GRAND HIGH SCHOOL","CO","parents called","1st"
"THUNDER RIDGE HIGH SCHOOL","KS","parents called","3rd"
"TIPTON HIGH SCHOOL","IA","parents called","Any"
"BIG PINEY HIGH SCHOOL","WY","parents called","Any"
"PLAINWELL HIGH SCHOOL","MI","parents called","Any"
"PENTUCKET REGIONAL SR HIGH","MA","parents called","1st"
"PENTUCKET REGIONAL SR HIGH","MA","parents called","2nd"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","parents called","2nd"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","parents called","3rd"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","parents called","4th"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","parents called","5th"
"DANVERS HIGH","MA","parents called","Any"
"BINGHAMTON HIGH SCHOOL","NY","parents called","Any"
"OMRO HIGH","WI","parents called","Any"
"NASHOBA REGIONAL","MA","parents called","Any"
"FONTANA A. B. MILLER HIGH","CA","parents called","Any"
"TEXAS H S","TX","parents called","1st"
"TEXAS H S","TX","parents called","2nd"
"TEXAS H S","TX","parents called","3rd"
"TEXAS H S","TX","parents called","4th"
"TEXAS H S","TX","parents called","5th"
"MEDFORD HIGH","MA","parents called","1st"
"SENIOR HS","OK","parents called","2nd"
"SENIOR HS","OK","parents called","3rd"
"ONTEORA HIGH SCHOOL","NY","parents called","2nd"
"HAVERLING SENIOR HIGH SCHOOL","NY","parents called","Any"
"PITTSFIELD HIGH","MA","parents called","Any"
"SARATOGA SPRINGS HIGH SCHOOL","NY","parents called","Any"
"RUSSELL HIGH","KS","parents called","1st"
"RUSSELL HIGH","KS","parents called","2nd"
"RUSSELL HIGH","KS","parents called","3rd"
"GRAND RAPIDS SENIOR HIGH","Mn","parents called","Any"
"PLYMOUTH HIGH","WI","parents called","1st"
"OKAY HS","OK","parents called","Any"
"CLEAR CREEK HIGH SCHOOL","CO","parents called","1st"
"RAMON C. CORTINES SCHOOL OF VISUAL AND PERFORMING ARTS","CA","parents called","Any"
"ALISO NIGUEL HIGH","CA","parents called","2nd"
"ALISO NIGUEL HIGH","CA","parents called","3rd"
"TAFT UNION HIGH","CA","parents called","Any"
"QUARTZ HILL HIGH","CA","parents called","2nd"
"QUARTZ HILL HIGH","CA","parents called","3rd"
"WRAY HIGH SCHOOL","CO","parents called","1st"
"PONCA CITY HS","OK","parents called","2nd"
"PONCA CITY HS","OK","parents called","3rd"
"PONCA CITY HS","OK","parents called","4th"
"SCOTTS VALLEY HIGH","CA","parents called","Any"
"AUBURN SENIOR HIGH","MA","parents called","Any"
"WHEELER HIGH SCHOOL","CT","parents called","Any"
"NORTHWEST CABARRUS HIGH","NC","parents called","1st"
"ELKHORN AREA HIGH","WI","parents called","Any"
"BOURNE HIGH SCHOOL","MA","parents called","Any"
"EASTERN YORK HS","PA","parents called","Any"
"CLINTON HIGH","WI","parents called","Any"
"JENKS HS","OK","parents called","1st"
"JENKS HS","OK","parents called","2nd"
"BROOKFIELD HIGH SCHOOL","CT","parents called","Any"
"HORNELL SENIOR HIGH SCHOOL","NY","parents called","Any"
"HOUSATONIC VALLEY REGIONAL HIGH SCHOOL","CT","parents called","Any"
"FAIRVIEW HS","PA","parents called","Any"
"MAHOPAC HIGH SCHOOL","NY","parents called","Any"
"NORTHLAND PINES HIGH","WI","parents called","Any"
"BRADFORD AREA HS","PA","parents called","Any"
"SALINA HS","OK","parents called","1st"
"PINE ISLAND SECONDARY","MN","parents called","Any"
"HUDSON'S BAY HIGH SCHOOL","WA","parents called","Any"
"VAN HORN HIGH","MO","parents called","2nd"
"LOOKEBA-SICKLES HS","OK","parents called","2nd"
"EAST HIGH","UT","parents must bring a change of clothes","Any"
"LA FERIA H S","TX","parents must bring a change of clothes","Any"
"BARNES COUNTY NORTH HIGH SCHOOL","ND","parents must bring a change of clothes","Any"
"DODGEVILLE HIGH","WI","parents must bring a change of clothes","Any"
"TEAGUE H S","TX","parents must bring a change of clothes","Any"
"ARCADIA HIGH SCHOOL","NY","parents must bring a change of clothes","Any"
"ROBERTSDALE HIGH SCH","AL","parents must bring a change of clothes","Any"
"SAVAGE HIGH SCHOOL","MT","parents must bring a change of clothes","1st"
"SOUTHERN COLUMBIA HS","PA","parents must bring a change of clothes","1st"
"SOUTHERN COLUMBIA HS","PA","parents must bring a change of clothes","2nd"
"IRONTON HIGH SCHOOL","OH","parents must bring a change of clothes","Any"
"SIMSBURY HIGH SCHOOL","CT","parents must bring a change of clothes","Any"
"BARBERS HILL H S","TX","parents must bring a change of clothes","Any"
"LOUISIANA HIGH","MO","parents must bring a change of clothes","Any"
"COE-BROWN NORTHWOOD ACADEMY","NH","parents must bring a change of clothes","1st"
"COE-BROWN NORTHWOOD ACADEMY","NH","parents must bring a change of clothes","2nd"
"COE-BROWN NORTHWOOD ACADEMY","NH","parents must bring a change of clothes","3rd"
"ELEANOR ROOSEVELT HIGH SCHOOL","NY","parents must bring a change of clothes","Any"
"GIRARD HS","PA","parents must bring a change of clothes","Any"
"FRUITVALE H S","TX","parents must bring a change of clothes","Any"
"MOUNDS HS","OK","parents must bring a change of clothes","Any"
"HOWE HS","OK","parents must bring a change of clothes","Any"
"MCLOUTH HIGH","KS","parents must bring a change of clothes","Any"
"TATUM H S","TX","parents must bring a change of clothes","Any"
"HANOVER HIGH","KS","parents must bring a change of clothes","Any"
"EAST LAURENS HIGH SCHOOL","GA","parents must bring a change of clothes","1st"
"HENRIETTA H S","TX","parents must bring a change of clothes","Any"
"HORN H S","TX","parents must bring a change of clothes","Any"
"RANCHO BUENA VISTA HIGH","CA","parents must bring a change of clothes","Any"
"LEVERETTS CHAPEL H S","TX","parents must bring a change of clothes","Any"
"WEST STOKES HIGH","NC","parents must bring a change of clothes","1st"
"WEST STOKES HIGH","NC","parents must bring a change of clothes","2nd"
"WEST STOKES HIGH","NC","parents must bring a change of clothes","3rd"
"MIDLAND H S","TX","parents must bring a change of clothes","Any"
"PLEASANT GROVE H S","TX","parents must bring a change of clothes","Any"
"BASTROP H S","TX","parents must bring a change of clothes","Any"
"PORTSMOUTH HIGH SCHOOL","NH","parents must bring a change of clothes","Any"
"BORGER H S","TX","parents must bring a change of clothes","Any"
"SHADOW HILLS HIGH","CA","parents must bring a change of clothes","Any"
"TWIN VALLEY HIGH SCHOOL","VT","parents must bring a change of clothes","Any"
"HALLSVILLE H S","TX","parents must bring a change of clothes","Any"
"DOVER HS","OK","parents must bring a change of clothes","Any"
"SALIDA HIGH SCHOOL","CO","parents must bring a change of clothes","Any"
"NELSON COUNTY HIGH","VA","parents must bring a change of clothes","Any"
"MORENCI HIGH SCHOOL","AZ","parents must bring a change of clothes","1st"
"IRAAN H S","TX","parents must bring a change of clothes","Any"
"BELLPORT SENIOR HIGH SCHOOL","NY","parents must bring a change of clothes","Any"
"PLATTE CANYON HIGH SCHOOL","CO","parents must bring a change of clothes","4th"
"PITTSFIELD HIGH SCHOOL","NH","parents must bring a change of clothes","Any"
"DAVID PROUTY HIGH","MA","parents must bring a change of clothes","2nd"
"TARKINGTON H S","TX","parents must bring a change of clothes","Any"
"QUANAH H S","TX","parents must bring a change of clothes","Any"
"ROGERS H S","TX","parents must bring a change of clothes","Any"
"CELINA H S","TX","parents must bring a change of clothes","Any"
"QUEEN CITY H S","TX","parents must bring a change of clothes","Any"
"ONTARIO HIGH SCHOOL","OR","parents must bring a change of clothes","Any"
"ALAMO HEIGHTS H S","TX","parents must bring a change of clothes","Any"
"INDEPENDENCE HIGH SCHOOL","MS","parents must bring a change of clothes","1st"
"KALKASKA HIGH SCHOOL","MI","parents must bring a change of clothes","Any"
"LA JOLLA HIGH","CA","parents must bring a change of clothes","2nd"
"WHARTON H S","TX","parents must bring a change of clothes","Any"
"ILLINOIS VALLEY HIGH SCHOOL","OR","parents must bring a change of clothes","Any"
"OLTON H S","TX","parents must bring a change of clothes","Any"
"CEDAR GROVE-BELGIUM HIGH","WI","parents must bring a change of clothes","Any"
"GLEN ROSE H S","TX","parents must bring a change of clothes","Any"
"HILLDALE HS","OK","parents must bring a change of clothes","Any"
"ALVARADO H S","TX","parents must bring a change of clothes","Any"
"CIMARRON HS","OK","parents must bring a change of clothes","Any"
"PENTUCKET REGIONAL SR HIGH","MA","parents must bring a change of clothes","1st"
"PENTUCKET REGIONAL SR HIGH","MA","parents must bring a change of clothes","2nd"
"OMRO HIGH","WI","parents must bring a change of clothes","Any"
"SLEEPY HOLLOW HIGH SCHOOL","NY","parents must bring a change of clothes","Any"
"DOUGLAS HIGH SCHOOL","MA","parents must bring a change of clothes","1st"
"ONTEORA HIGH SCHOOL","NY","parents must bring a change of clothes","1st"
"MONROE CITY R-I HIGH","MO","parents must bring a change of clothes","1st"
"TEMPLE H S","TX","parents must bring a change of clothes","Any"
"HAVERLING SENIOR HIGH SCHOOL","NY","parents must bring a change of clothes","Any"
"WHITE RIVER HIGH SCHOOL","WA","parents must bring a change of clothes","Any"
"CHIRENO H S","TX","parents must bring a change of clothes","Any"
"EDISON SENIOR HIGH","MN","parents must bring a change of clothes","Any"
"RUSSELL HIGH","KS","parents must bring a change of clothes","1st"
"RUSSELL HIGH","KS","parents must bring a change of clothes","2nd"
"RUSSELL HIGH","KS","parents must bring a change of clothes","3rd"
"SALLISAW HS","OK","parents must bring a change of clothes","Any"
"ASSETS","TX","parents must bring a change of clothes","Any"
"BURKBURNETT H S","TX","parents must bring a change of clothes","Any"
"EDISON ACADEMY","MA","parents must bring a change of clothes","Any"
"SWEETWATER H S","TX","parents must bring a change of clothes","2nd"
"WRAY HIGH SCHOOL","CO","parents must bring a change of clothes","1st"
"HICKORY RIDGE HIGH","NC","parents must bring a change of clothes","Any"
"BOURNE HIGH SCHOOL","MA","parents must bring a change of clothes","Any"
"EASTERN YORK HS","PA","parents must bring a change of clothes","Any"
"LAKE REGION UHSD #24","VT","parents must bring a change of clothes","Any"
"NICOLET HIGH","WI","parents must bring a change of clothes","Any"
"DICKINSON H S","TX","parents must bring a change of clothes","Any"
"CHARLESTON HIGH","MO","parents must bring a change of clothes","1st"
"CHARLESTON HIGH","MO","parents must bring a change of clothes","2nd"
"CHARLESTON HIGH","MO","parents must bring a change of clothes","3rd"
"MOUNT UNION AREA SHS","PA","parents must bring a change of clothes","Any"
"THORP HIGH","WI","parents must bring a change of clothes","Any"
"HOLCOMB HIGH","KS","parents must bring a change of clothes","Any"
"MILWAUKIE HIGH SCHOOL","OR","parents must bring a change of clothes","Any"
"WINNECONNE HIGH","WI","parents must bring a change of clothes","Any"
"UNIVERSITY CITY HIGH","CA","parents must bring a change of clothes","Any"
"PRIOR LAKE HIGH SCHOOL","MN","sent home for the day","Any"
"OOLOGAH-TALALA HS","OK","sent home for the day","Any"
"GLASGOW HIGH SCHOOL","MT","sent home for the day","2nd"
"OAKDALE HIGH","MD","sent home for the day","Any"
"DEL MAR HIGH","CA","sent home for the day","2nd"
"RIO RANCHO HIGH","NM","sent home for the day","1st"
"RIO RANCHO HIGH","NM","sent home for the day","2nd"
"RIO RANCHO HIGH","NM","sent home for the day","3rd"
"ROBERTSDALE HIGH SCH","AL","sent home for the day","Any"
"SAVAGE HIGH SCHOOL","MT","sent home for the day","1st"
"MILTON HIGH","WI","sent home for the day","Any"
"ELSBERRY HIGH","MO","sent home for the day","Any"
"PORT JERVIS SENIOR HIGH SCHOOL","NY","sent home for the day","Any"
"LONGMONT HIGH SCHOOL","CO","sent home for the day","1st"
"IRONTON HIGH SCHOOL","OH","sent home for the day","Any"
"NORTHBRIDGE HIGH","MA","sent home for the day","Any"
"BARBERS HILL H S","TX","sent home for the day","Any"
"LOUISIANA HIGH","MO","sent home for the day","Any"
"BUTLER HIGH SCHOOL","OH","sent home for the day","Any"
"GATEWAY HIGH SCHOOL","CO","sent home for the day","Any"
"COE-BROWN NORTHWOOD ACADEMY","NH","sent home for the day","3rd"
"DAWSON HIGH SCHOOL","MT","sent home for the day","Any"
"GIRARD HS","PA","sent home for the day","Any"
"DARLINGTON HIGH","WI","sent home for the day","Any"
"OAK GROVE HIGH","MO","sent home for the day","Any"
"FLOYD HIGH","NM","sent home for the day","Any"
"NORTH ANDREW HIGH","MO","sent home for the day","Any"
"WEATHERFORD H S","TX","sent home for the day","Any"
"AMITY REGIONAL HIGH SCHOOL","CT","sent home for the day","Any"
"CENTRAL HIGH SCHOOL","IA","sent home for the day","Any"
"QUINCY HIGH","MA","sent home for the day","Any"
"NEVADA HIGH SCHOOL","IA","sent home for the day","Any"
"ADM SENIOR HIGH SCHOOL","IA","sent home for the day","Any"
"CABOOL HIGH","MO","sent home for the day","Any"
"SHADOW HILLS HIGH","CA","sent home for the day","Any"
"LAINGSBURG HIGH SCHOOL","MI","sent home for the day","Any"
"DOVER HS","OK","sent home for the day","Any"
"SCOTIA-GLENVILLE SENIOR HIGH SCHOOL","NY","sent home for the day","Any"
"POWDER RIVER CO DIST HIGH","MT","sent home for the day","Any"
"PLYMOUTH-WHITEMARSH SHS","PA","sent home for the day","Any"
"SALIDA HIGH SCHOOL","CO","sent home for the day","Any"
"THOMAS JEFFERSON HIGH SCHOOL","CO","sent home for the day","Any"
"SHERIDAN HIGH SCHOOL","WY","sent home for the day","Any"
"NELSON COUNTY HIGH","VA","sent home for the day","Any"
"WESTON RANCH HIGH","CA","sent home for the day","Any"
"SKIATOOK HS","OK","sent home for the day","Any"
"JACKSON HOLE HIGH SCHOOL","WY","sent home for the day","Any"
"ROSEMONT HIGH","CA","sent home for the day","4th"
"GRAND LEDGE HIGH SCHOOL","MI","sent home for the day","Any"
"DAVID PROUTY HIGH","MA","sent home for the day","2nd"
"DAVID PROUTY HIGH","MA","sent home for the day","3rd"
"HARLOWTON HIGH SCHOOL","MT","sent home for the day","Any"
"MARATHON HIGH","WI","sent home for the day","Any"
"BONNEY LAKE HIGH SCHOOL","WA","sent home for the day","Any"
"BYRON NELSON H S","TX","sent home for the day","Any"
"ATASCADERO HIGH","CA","sent home for the day","Any"
"PEKIN COMMUNITY HIGH SCHOOL","IA","sent home for the day","Any"
"SAN JON HIGH","NM","sent home for the day","Any"
"LOVELL HIGH SCHOOL","WY","sent home for the day","Any"
"PERRY CENTRAL HIGH SCHOOL","MS","sent home for the day","Any"
"LEBANON HIGH SCHOOL","OR","sent home for the day","Any"
"SPAULDING UHSD #41","VT","sent home for the day","Any"
"BIG PINEY HIGH SCHOOL","WY","sent home for the day","Any"
"CLEARWATER HIGH","MO","sent home for the day","Any"
"CHASE HIGH","KS","sent home for the day","Any"
"CENTRALIA HIGH","MO","sent home for the day","Any"
"BATTLE CREEK-IDA GROVE SENIOR HIGH SCHOOL","IA","sent home for the day","Any"
"BINGHAMTON HIGH SCHOOL","NY","sent home for the day","Any"
"GEORGE MASON HIGH","VA","sent home for the day","Any"
"OMRO HIGH","WI","sent home for the day","Any"
"MOUNTAIN VIEW HIGH SCHOOL","WY","sent home for the day","Any"
"CHANHASSEN HIGH SCHOOL","MN","sent home for the day","Any"
"SENIOR HS","OK","sent home for the day","1st"
"RIPLEY HIGH SCHOOL","MS","sent home for the day","Any"
"LOMIRA HIGH","WI","sent home for the day","Any"
"KELSO HIGH SCHOOL","WA","sent home for the day","Any"
"GRAND RAPIDS SENIOR HIGH","Mn","sent home for the day","Any"
"BROADVIEW HIGH SCHOOL","MT","sent home for the day","1st"
"LODI HIGH","WI","sent home for the day","2nd"
"FORSYTH HIGH","MO","sent home for the day","Any"
"RUTLAND SENIOR HIGH SCHOOL","VT","sent home for the day","Any"
"RUTLAND SENIOR HIGH SCHOOL","VT","sent home for the day","Any"
"NORTH DOUGLAS HIGH SCHOOL","OR","sent home for the day","Any"
"AUBURN HIGH","VA","sent home for the day","Any"
"ELKHORN AREA HIGH","WI","sent home for the day","Any"
"WASHINGTON HS","OK","sent home for the day","Any"
"LAKE REGION UHSD #24","VT","sent home for the day","Any"
"VINTON-SHELLSBURG HIGH SCHOOL","IA","sent home for the day","Any"
"POTOSI HIGH","WI","sent home for the day","Any"
"CLINTON HIGH","WI","sent home for the day","Any"
"CRESTON HIGH SCHOOL","IA","sent home for the day","Any"
"FAIRVIEW HS","PA","sent home for the day","Any"
"LAPINE SENIOR HIGH SCHOOL","OR","sent home for the day","1st"
"ANACORTES HIGH SCHOOL","WA","sent home for the day","Any"
"BRADFORD AREA HS","PA","sent home for the day","Any"
"SAUK RAPIDS-RICE SENIOR HIGH","MN","sent home for the day","Any"
"SALINA HS","OK","sent home for the day","2nd"
"CONVAL REGIONAL HIGH SCHOOL","NH","sent home for the day","Any"
"WINNECONNE HIGH","WI","sent home for the day","Any"
"PINE ISLAND SECONDARY","MN","sent home for the day","Any"
"NORTH EUGENE HIGH SCHOOL","OR","sent home for the day","Any"
"VAN HORN HIGH","MO","sent home for the day","3rd"
"KNOXVILLE HIGH SCHOOL","IA","sent home for the day","Any"
"NEW PRAGUE SENIOR HIGH","MN","sent home for the day","Any"
"HICKSVILLE HIGH SCHOOL","NY","suspension","Any"
"FONDA-FULTONVILLE SENIOR HIGH SCHOOL","NY","suspension","Any"
"MOHONASEN SENIOR HIGH SCHOOL","NY","suspension","Any"
